wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
407.644	1238.560	1342.648	1351.147	0.994	1357.598	1350.840	0.210	407.644	0.210	26.739	35.000
407.821	1248.826	1357.189	1353.067	0.996	1365.483	1357.106	0.210	407.821	0.210	0.000	0.000
407.998	1251.744	1357.726	1360.645	0.997	1377.566	1374.816	0.210	407.998	0.210	0.000	0.000
408.175	1261.984	1384.529	1371.576	0.999	1391.723	1387.703	0.210	408.175	0.210	0.000	0.000
408.352	1254.765	1373.009	1373.726	1.000	1385.144	1385.483	0.210	408.352	0.210	0.000	0.000
408.529	1262.931	1371.960	1378.974	1.000	1381.278	1389.817	0.210	408.529	0.210	0.000	0.000
408.706	1253.536	1367.531	1368.862	1.000	1370.961	1369.214	0.210	408.706	0.210	0.000	0.000
408.884	1264.570	1372.728	1365.611	1.000	1375.313	1378.735	0.210	408.884	0.210	0.000	0.000
409.061	1252.461	1368.734	1361.950	1.000	1376.465	1379.589	0.210	409.061	0.210	0.000	0.000
409.238	1263.059	1370.577	1373.445	1.001	1381.278	1388.930	0.210	409.238	0.210	0.000	0.000
409.416	1260.781	1368.043	1365.790	1.001	1380.075	1379.332	0.210	409.416	0.210	0.000	0.000
409.594	1263.008	1372.472	1367.378	1.001	1381.841	1387.473	0.210	409.594	0.210	0.000	0.000
409.771	1258.733	1371.960	1369.528	1.001	1380.433	1376.115	0.210	409.771	0.210	0.000	0.000
409.949	1266.925	1375.544	1377.131	1.001	1384.760	1385.322	0.210	409.949	0.210	0.000	0.000
410.127	1259.808	1369.809	1366.200	1.001	1376.696	1382.644	0.210	410.127	0.210	0.000	0.000
410.305	1251.718	1401.323	1417.604	1.001	1408.875	1412.071	0.210	410.305	0.210	0.000	0.000
410.483	1259.680	1406.750	1432.605	1.000	1417.911	1417.093	0.210	410.483	0.210	0.000	0.000
410.661	1254.253	1410.974	1430.327	0.999	1424.132	1426.320	0.210	410.661	0.210	0.000	0.000
410.839	1250.003	1395.204	1419.806	0.997	1410.282	1407.920	0.211	410.839	0.211	0.000	0.000
411.017	1265.440	1413.278	1436.932	0.994	1424.132	1419.975	0.211	411.017	0.211	0.000	0.000
411.195	1255.277	1407.415	1429.789	0.992	1419.934	1409.631	0.211	411.195	0.211	0.000	0.000
411.373	1258.451	1404.881	1440.080	0.990	1424.132	1407.126	0.212	411.373	0.212	0.000	0.000
411.552	1258.733	1417.041	1436.906	0.987	1423.236	1411.352	0.212	411.552	0.212	0.000	0.000
411.730	1256.173	1408.823	1432.810	0.986	1416.478	1393.776	0.213	411.730	0.213	0.000	0.000
411.909	1258.246	1407.748	1432.810	0.984	1422.545	1397.276	0.213	411.909	0.213	0.000	0.000
412.087	1258.810	1402.935	1431.607	0.983	1423.543	1401.808	0.213	412.087	0.213	0.000	0.000
412.266	1259.552	1407.671	1431.249	0.982	1419.601	1395.783	0.214	412.266	0.214	0.000	0.000
412.445	1269.664	1410.871	1438.416	0.982	1424.465	1400.609	0.214	412.445	0.214	0.000	0.000
412.623	1257.606	1406.750	1429.329	0.981	1415.095	1398.020	0.214	412.623	0.214	0.000	0.000
412.802	1261.472	1411.665	1435.626	0.981	1431.121	1397.394	0.215	412.802	0.215	0.000	0.000
412.981	1259.962	1411.870	1434.884	0.981	1421.265	1391.955	0.215	412.981	0.215	0.000	0.000
413.160	1261.626	1410.794	1440.388	0.981	1422.263	1400.335	0.216	413.160	0.216	0.000	0.000
413.339	1254.688	1406.980	1435.268	0.981	1411.818	1389.598	0.216	413.339	0.216	0.000	0.000
413.518	1260.038	1414.609	1431.453	0.981	1417.169	1390.772	0.216	413.518	0.216	0.000	0.000
413.698	1258.272	1414.634	1435.216	0.982	1421.111	1394.635	0.217	413.698	0.217	0.000	0.000
413.877	1265.798	1415.428	1442.973	0.982	1436.932	1411.461	0.217	413.877	0.217	0.000	0.000
414.056	1257.786	1409.054	1429.738	0.983	1418.602	1403.836	0.217	414.056	0.217	0.000	0.000
414.236	1282.745	1445.482	1473.744	0.983	1459.690	1433.250	0.218	414.236	0.218	0.000	0.000
414.415	1259.040	1415.377	1437.367	0.983	1417.911	1399.263	0.218	414.415	0.218	0.000	0.000
414.594	1261.446	1411.281	1447.888	0.983	1418.756	1406.241	0.219	414.594	0.219	0.000	0.000
414.774	1261.626	1415.351	1439.492	0.983	1418.833	1400.609	0.219	414.774	0.219	0.000	0.000
414.954	1262.624	1417.860	1442.948	0.983	1428.509	1404.989	0.219	414.954	0.219	0.000	0.000
415.133	1259.936	1410.462	1438.391	0.982	1419.985	1396.822	0.220	415.133	0.220	0.000	0.000
415.313	1264.672	1421.086	1454.058	0.982	1435.319	1407.443	0.220	415.313	0.220	0.000	0.000
415.493	1254.739	1411.895	1446.634	0.982	1423.748	1395.663	0.220	415.493	0.220	0.000	0.000
415.673	1257.939	1409.438	1464.682	0.981	1418.833	1410.941	0.221	415.673	0.221	0.000	0.000
415.853	1262.189	1408.567	1462.275	0.979	1418.295	1405.648	0.221	415.853	0.221	0.000	0.000
416.033	1264.723	1418.270	1470.186	0.977	1416.196	1410.122	0.222	416.033	0.222	0.000	0.000
416.213	1256.326	1397.790	1462.608	0.974	1420.497	1404.474	0.222	416.213	0.222	0.000	0.000
416.393	1260.525	1409.924	1472.720	0.971	1414.942	1405.396	0.222	416.393	0.222	0.000	0.000
416.574	1259.782	1414.378	1481.117	0.968	1418.602	1399.103	0.223	416.574	0.223	0.000	0.000
416.754	1266.413	1413.482	1493.353	0.965	1421.828	1404.067	0.223	416.754	0.223	0.000	0.000
416.934	1253.331	1406.110	1501.571	0.962	1423.031	1411.880	0.223	416.934	0.223	0.000	0.000
417.115	1273.043	1417.246	1514.908	0.958	1427.946	1417.082	0.224	417.115	0.224	0.000	0.000
417.295	1253.587	1411.332	1496.988	0.954	1417.118	1399.296	0.224	417.295	0.224	0.000	0.000
417.476	1267.513	1413.175	1497.091	0.950	1426.180	1388.478	0.224	417.476	0.224	0.000	0.000
417.656	1255.712	1408.798	1475.459	0.947	1411.076	1372.230	0.225	417.656	0.225	0.000	0.000
417.837	1266.310	1417.297	1469.418	0.946	1426.615	1372.650	0.225	417.837	0.225	0.000	0.000
418.018	1257.606	1412.100	1456.464	0.946	1423.082	1360.297	0.225	418.018	0.225	0.000	0.000
418.199	1273.222	1419.140	1460.867	0.948	1432.836	1364.354	0.226	418.199	0.226	0.000	0.000
418.380	1256.992	1410.103	1442.308	0.950	1425.745	1355.256	0.226	418.380	0.226	0.000	0.000
418.561	1262.701	1415.274	1443.357	0.954	1430.660	1364.793	0.226	418.561	0.226	0.000	0.000
418.742	1261.549	1415.121	1442.615	0.958	1428.842	1368.490	0.227	418.742	0.227	0.000	0.000
418.923	1268.179	1431.735	1445.866	0.963	1435.677	1382.112	0.227	418.923	0.227	0.000	0.000
419.104	1265.696	1411.537	1444.560	0.968	1422.314	1373.812	0.228	419.104	0.228	0.000	0.000
419.285	1264.544	1410.743	1438.109	0.972	1422.263	1384.812	0.228	419.285	0.228	0.000	0.000
419.466	1255.610	1398.916	1432.708	0.975	1415.505	1385.146	0.228	419.466	0.228	0.000	0.000
419.648	1262.419	1413.662	1440.669	0.978	1432.196	1394.388	0.229	419.648	0.229	0.000	0.000
419.829	1259.322	1417.271	1440.029	0.980	1423.697	1401.510	0.229	419.829	0.229	0.000	0.000
420.011	1273.120	1419.754	1449.501	0.981	1431.377	1408.715	0.229	420.011	0.229	0.000	0.000
420.192	1253.562	1405.444	1428.330	0.983	1417.450	1393.105	0.230	420.192	0.230	0.000	0.000
420.374	1259.219	1421.009	1442.154	0.983	1424.900	1407.685	0.230	420.374	0.230	0.000	0.000
420.555	1257.555	1409.489	1441.591	0.984	1425.924	1402.414	0.230	420.555	0.230	0.000	0.000
420.737	1263.264	1415.018	1445.738	0.984	1432.375	1405.936	0.231	420.737	0.231	0.000	0.000
420.919	1261.651	1409.668	1430.301	0.984	1417.962	1397.109	0.231	420.919	0.231	0.000	0.000
421.101	1271.712	1410.231	1438.032	0.984	1422.007	1396.817	0.231	421.101	0.231	0.000	0.000
421.283	1259.322	1408.875	1437.725	0.983	1425.386	1399.609	0.232	421.283	0.232	0.000	0.000
421.465	1262.240	1415.095	1436.343	0.983	1426.717	1407.092	0.232	421.465	0.232	0.000	0.000
421.647	1259.091	1408.004	1432.529	0.983	1423.287	1398.614	0.232	421.647	0.232	0.000	0.000
421.829	1275.219	1419.882	1444.458	0.983	1430.813	1400.932	0.233	421.829	0.233	0.000	0.000
422.011	1262.061	1410.282	1435.882	0.983	1420.292	1406.412	0.233	422.011	0.233	0.000	0.000
422.193	1267.360	1421.905	1445.610	0.983	1437.188	1408.328	0.233	422.193	0.233	0.000	0.000
422.376	1256.941	1402.167	1433.476	0.983	1417.553	1387.625	0.234	422.376	0.234	0.000	0.000
422.558	1260.218	1418.756	1443.895	0.982	1428.740	1402.738	0.234	422.558	0.234	0.000	0.000
422.740	1257.504	1406.417	1431.479	0.982	1418.858	1396.967	0.234	422.740	0.234	0.000	0.000
422.923	1261.549	1408.567	1440.208	0.982	1423.108	1405.760	0.235	422.923	0.235	0.000	0.000
423.105	1253.741	1410.641	1430.404	0.982	1411.281	1388.736	0.235	423.105	0.235	0.000	0.000
423.288	1265.235	1422.570	1442.589	0.982	1436.087	1412.056	0.235	423.288	0.235	0.000	0.000
423.471	1255.942	1413.124	1438.928	0.982	1418.474	1403.282	0.236	423.471	0.236	0.000	0.000
423.653	1271.891	1423.645	1447.479	0.982	1428.125	1410.798	0.236	423.653	0.236	0.000	0.000
423.836	1255.891	1411.818	1448.375	0.982	1429.431	1400.081	0.236	423.836	0.236	0.000	0.000
424.019	1261.216	1414.609	1444.586	0.982	1429.380	1408.692	0.237	424.019	0.237	0.000	0.000
424.202	1260.422	1412.458	1430.097	0.982	1415.121	1402.756	0.237	424.202	0.237	0.000	0.000
424.385	1267.590	1412.970	1447.837	0.982	1438.954	1410.544	0.237	424.385	0.237	0.000	0.000
424.568	1255.635	1412.202	1442.768	0.981	1419.524	1392.533	0.238	424.568	0.238	0.000	0.000
424.751	1260.192	1418.423	1448.068	0.981	1428.407	1401.462	0.238	424.751	0.238	0.000	0.000
424.934	1263.853	1417.297	1440.541	0.981	1422.340	1399.323	0.238	424.934	0.238	0.000	0.000
425.118	1263.443	1410.154	1450.986	0.980	1424.388	1401.146	0.238	425.118	0.238	0.000	0.000
425.301	1259.347	1412.254	1444.663	0.980	1419.447	1395.510	0.239	425.301	0.239	0.000	0.000
425.484	1267.744	1413.252	1446.813	0.979	1426.129	1404.594	0.239	425.484	0.239	0.000	0.000
425.668	1266.080	1411.998	1451.677	0.979	1426.077	1403.605	0.239	425.668	0.239	0.000	0.000
425.851	1264.953	1408.516	1437.674	0.978	1420.599	1403.539	0.240	425.851	0.240	0.000	0.000
426.035	1262.573	1410.820	1442.948	0.978	1432.196	1402.512	0.240	426.035	0.240	0.000	0.000
426.218	1261.498	1420.497	1452.573	0.977	1434.141	1397.753	0.240	426.218	0.240	0.000	0.000
426.402	1258.067	1409.463	1440.080	0.977	1428.023	1399.013	0.240	426.402	0.240	0.000	0.000
426.586	1266.157	1408.721	1442.512	0.977	1433.245	1397.801	0.241	426.586	0.241	0.000	0.000
426.769	1260.832	1410.948	1444.432	0.977	1424.618	1396.496	0.241	426.769	0.241	0.000	0.000
426.953	1256.070	1408.619	1444.432	0.977	1426.717	1392.608	0.241	426.953	0.241	0.000	0.000
427.137	1249.850	1411.306	1429.866	0.977	1417.783	1385.972	0.241	427.137	0.241	0.000	0.000
427.321	1266.464	1418.935	1443.383	0.977	1429.098	1400.101	0.242	427.321	0.242	0.000	0.000
427.505	1255.482	1405.214	1433.937	0.978	1411.742	1385.811	0.242	427.505	0.242	0.000	0.000
427.689	1267.641	1429.405	1454.595	0.979	1437.700	1409.643	0.242	427.689	0.242	0.000	0.000
427.873	1258.733	1411.767	1441.360	0.980	1424.849	1400.168	0.242	427.873	0.242	0.000	0.000
428.057	1259.475	1414.890	1441.437	0.980	1431.095	1400.453	0.243	428.057	0.243	0.000	0.000
428.242	1257.478	1406.161	1439.389	0.980	1420.804	1391.121	0.243	428.242	0.243	0.000	0.000
428.426	1261.651	1414.302	1443.792	0.981	1429.789	1400.670	0.243	428.426	0.243	0.000	0.000
428.610	1251.514	1414.455	1435.549	0.981	1426.001	1398.166	0.243	428.610	0.243	0.000	0.000
428.795	1269.510	1420.062	1439.415	0.981	1432.503	1404.685	0.244	428.795	0.244	0.000	0.000
428.979	1257.683	1410.180	1436.471	0.981	1423.517	1393.338	0.244	428.979	0.244	0.000	0.000
429.164	1270.585	1418.270	1451.037	0.982	1427.306	1408.829	0.244	429.164	0.244	0.000	0.000
429.348	1256.608	1419.754	1444.586	0.982	1421.418	1398.464	0.244	429.348	0.244	0.000	0.000
