wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.427	1252.333	1293.164	1289.606	1.003	1312.082	1312.751	0.229	405.427	0.229	26.843	35.000
405.624	1258.502	1294.649	1302.995	1.001	1317.279	1319.229	0.229	405.624	0.229	0.000	0.000
405.821	1266.822	1299.743	1301.791	0.999	1324.012	1315.904	0.229	405.821	0.229	0.000	0.000
406.018	1277.037	1327.084	1317.637	0.999	1334.405	1334.586	0.229	406.018	0.229	0.000	0.000
406.215	1268.537	1307.602	1313.567	0.999	1330.233	1331.285	0.229	406.215	0.229	0.000	0.000
406.412	1275.757	1312.978	1317.074	1.000	1333.637	1340.840	0.229	406.412	0.229	0.000	0.000
406.609	1257.453	1313.030	1307.218	0.999	1321.913	1321.879	0.229	406.609	0.229	0.000	0.000
406.806	1267.616	1313.593	1311.084	1.000	1332.332	1326.073	0.229	406.806	0.229	0.000	0.000
407.003	1265.824	1306.937	1303.532	1.000	1320.965	1323.341	0.229	407.003	0.229	0.000	0.000
407.200	1269.152	1322.220	1316.921	1.000	1337.324	1338.310	0.229	407.200	0.229	0.000	0.000
407.397	1261.549	1312.159	1313.311	1.001	1324.985	1330.936	0.229	407.397	0.229	0.000	0.000
407.594	1273.478	1315.231	1313.721	1.001	1337.836	1333.657	0.229	407.594	0.229	0.000	0.000
407.791	1263.827	1309.522	1311.263	1.001	1326.700	1330.671	0.229	407.791	0.229	0.000	0.000
407.988	1273.197	1317.842	1323.551	1.001	1338.424	1334.674	0.229	407.988	0.229	0.000	0.000
408.185	1266.771	1314.514	1314.182	1.001	1334.712	1332.223	0.229	408.185	0.229	0.000	0.000
408.382	1268.333	1339.397	1350.584	1.000	1367.198	1360.629	0.229	408.382	0.229	0.000	0.000
408.579	1263.238	1347.205	1367.787	0.999	1362.974	1359.947	0.229	408.579	0.229	0.000	0.000
408.776	1271.533	1351.506	1370.526	0.998	1365.355	1367.698	0.229	408.776	0.229	0.000	0.000
408.973	1254.483	1343.340	1363.154	0.996	1361.899	1354.956	0.229	408.973	0.229	0.000	0.000
409.170	1270.918	1352.939	1377.310	0.994	1380.741	1372.222	0.229	409.170	0.229	0.000	0.000
409.367	1262.010	1342.751	1365.304	0.992	1372.574	1353.013	0.229	409.367	0.229	0.000	0.000
409.564	1273.171	1347.051	1366.302	0.990	1375.262	1359.372	0.229	409.564	0.229	0.000	0.000
409.761	1273.453	1346.539	1371.729	0.988	1372.497	1355.320	0.229	409.761	0.229	0.000	0.000
409.958	1267.334	1346.514	1371.064	0.987	1373.726	1349.818	0.229	409.958	0.229	0.000	0.000
410.155	1269.510	1349.125	1373.009	0.985	1371.832	1351.150	0.230	410.155	0.230	0.000	0.000
410.353	1266.720	1354.117	1375.313	0.984	1378.257	1347.610	0.230	410.353	0.230	0.000	0.000
410.550	1269.997	1352.683	1363.870	0.983	1380.997	1339.668	0.230	410.550	0.230	0.000	0.000
410.747	1284.460	1360.235	1377.233	0.983	1374.469	1354.778	0.231	410.747	0.231	0.000	0.000
410.944	1259.245	1350.994	1365.944	0.984	1378.846	1341.984	0.231	410.944	0.231	0.000	0.000
411.141	1272.761	1362.590	1377.387	0.984	1375.902	1355.158	0.232	411.141	0.232	0.000	0.000
411.338	1265.849	1349.611	1375.646	0.985	1375.006	1345.557	0.232	411.338	0.232	0.000	0.000
411.535	1270.099	1352.402	1377.054	0.985	1370.859	1358.554	0.233	411.535	0.233	0.000	0.000
411.732	1265.158	1350.047	1360.696	0.985	1363.666	1343.953	0.233	411.732	0.233	0.000	0.000
411.929	1264.160	1349.944	1367.275	0.986	1378.897	1356.131	0.234	411.929	0.234	0.000	0.000
412.127	1265.926	1345.311	1370.552	0.986	1372.344	1351.656	0.234	412.127	0.234	0.000	0.000
412.324	1282.080	1364.843	1385.758	0.986	1382.865	1362.923	0.235	412.324	0.235	0.000	0.000
412.521	1258.016	1351.941	1374.878	0.986	1371.678	1347.155	0.235	412.521	0.235	0.000	0.000
412.718	1300.665	1382.225	1406.622	0.986	1404.471	1394.221	0.236	412.718	0.236	0.000	0.000
412.915	1267.334	1353.016	1371.909	0.985	1378.949	1352.503	0.236	412.915	0.236	0.000	0.000
413.112	1273.273	1367.480	1379.435	0.985	1379.921	1357.427	0.237	413.112	0.237	0.000	0.000
413.309	1267.641	1351.429	1378.821	0.985	1374.776	1351.542	0.237	413.309	0.237	0.000	0.000
413.507	1271.558	1353.144	1381.048	0.985	1372.267	1350.400	0.238	413.507	0.238	0.000	0.000
413.704	1258.810	1356.958	1374.059	0.985	1369.093	1346.858	0.238	413.704	0.238	0.000	0.000
413.901	1276.320	1363.051	1393.080	0.985	1382.225	1366.750	0.239	413.901	0.239	0.000	0.000
414.098	1264.544	1351.429	1385.400	0.984	1371.883	1355.322	0.239	414.098	0.239	0.000	0.000
414.295	1272.045	1358.008	1393.489	0.983	1371.806	1359.668	0.240	414.295	0.240	0.000	0.000
414.493	1273.273	1349.509	1397.559	0.982	1378.334	1356.864	0.240	414.493	0.240	0.000	0.000
414.690	1277.139	1354.322	1398.455	0.980	1382.072	1367.469	0.241	414.690	0.241	0.000	0.000
414.887	1262.778	1347.026	1395.819	0.978	1368.478	1361.282	0.241	414.887	0.241	0.000	0.000
415.084	1272.813	1358.034	1412.612	0.975	1377.566	1365.313	0.242	415.084	0.242	0.000	0.000
415.281	1266.233	1345.208	1413.303	0.973	1371.089	1364.562	0.242	415.281	0.242	0.000	0.000
415.479	1273.606	1352.427	1441.514	0.969	1387.089	1378.848	0.243	415.479	0.243	0.000	0.000
415.676	1275.065	1344.312	1439.850	0.965	1369.477	1372.504	0.243	415.676	0.243	0.000	0.000
415.873	1276.473	1364.894	1440.106	0.960	1384.632	1371.553	0.244	415.873	0.244	0.000	0.000
416.070	1265.568	1345.003	1416.222	0.956	1378.897	1347.652	0.244	416.070	0.244	0.000	0.000
416.268	1265.773	1355.730	1421.316	0.952	1383.864	1341.289	0.244	416.268	0.244	0.000	0.000
416.465	1262.854	1351.275	1409.079	0.950	1367.378	1322.764	0.245	416.465	0.245	0.000	0.000
416.662	1281.004	1361.438	1398.225	0.949	1385.041	1316.976	0.245	416.662	0.245	0.000	0.000
416.859	1272.070	1343.519	1386.859	0.950	1378.565	1317.322	0.246	416.859	0.246	0.000	0.000
417.057	1277.856	1367.070	1394.692	0.952	1380.741	1327.429	0.246	417.057	0.246	0.000	0.000
417.254	1266.592	1351.250	1383.224	0.955	1381.816	1320.329	0.247	417.254	0.247	0.000	0.000
417.451	1274.886	1362.744	1383.121	0.959	1377.669	1321.304	0.247	417.451	0.247	0.000	0.000
417.648	1264.698	1351.736	1367.506	0.963	1372.907	1324.495	0.248	417.648	0.248	0.000	0.000
417.846	1275.321	1365.022	1385.476	0.968	1393.310	1331.562	0.248	417.846	0.248	0.000	0.000
418.043	1272.915	1356.882	1384.452	0.972	1379.025	1333.523	0.249	418.043	0.249	0.000	0.000
418.240	1274.118	1357.163	1381.176	0.976	1377.643	1336.969	0.249	418.240	0.249	0.000	0.000
418.438	1267.513	1347.538	1363.051	0.979	1370.629	1340.185	0.249	418.438	0.249	0.000	0.000
418.635	1276.806	1357.982	1375.646	0.982	1379.077	1360.707	0.250	418.635	0.250	0.000	0.000
418.832	1269.843	1351.019	1376.696	0.984	1379.307	1352.736	0.250	418.832	0.250	0.000	0.000
419.030	1280.902	1365.381	1384.376	0.985	1386.091	1362.892	0.251	419.030	0.251	0.000	0.000
419.227	1270.867	1351.557	1367.710	0.986	1379.128	1345.087	0.251	419.227	0.251	0.000	0.000
419.424	1275.501	1361.822	1371.422	0.987	1378.667	1357.641	0.252	419.424	0.252	0.000	0.000
419.622	1268.947	1354.603	1382.174	0.988	1375.416	1354.169	0.252	419.622	0.252	0.000	0.000
419.819	1271.917	1357.931	1383.377	0.988	1389.419	1364.226	0.253	419.819	0.253	0.000	0.000
420.016	1263.674	1346.693	1375.953	0.988	1366.840	1343.582	0.253	420.016	0.253	0.000	0.000
420.214	1262.419	1354.629	1377.387	0.987	1376.721	1356.493	0.253	420.214	0.253	0.000	0.000
420.411	1267.437	1351.583	1374.289	0.986	1382.686	1343.556	0.254	420.411	0.254	0.000	0.000
420.608	1278.214	1359.134	1378.155	0.985	1380.664	1359.032	0.254	420.608	0.254	0.000	0.000
420.806	1271.942	1354.859	1378.488	0.985	1371.397	1347.412	0.255	420.806	0.255	0.000	0.000
421.003	1285.945	1364.894	1372.190	0.985	1390.008	1352.729	0.255	421.003	0.255	0.000	0.000
421.200	1269.126	1347.205	1365.816	0.985	1377.720	1356.023	0.256	421.200	0.256	0.000	0.000
421.398	1276.320	1362.667	1384.120	0.985	1385.604	1357.806	0.256	421.398	0.256	0.000	0.000
421.595	1262.957	1355.167	1371.345	0.985	1368.094	1346.782	0.256	421.595	0.256	0.000	0.000
421.793	1272.864	1360.261	1383.710	0.986	1378.155	1358.145	0.257	421.793	0.257	0.000	0.000
421.990	1267.232	1353.733	1374.136	0.986	1382.968	1357.077	0.257	421.990	0.257	0.000	0.000
422.187	1268.128	1359.134	1376.773	0.986	1377.848	1360.222	0.258	422.187	0.258	0.000	0.000
422.385	1268.819	1356.370	1369.221	0.986	1366.661	1358.446	0.258	422.385	0.258	0.000	0.000
422.582	1274.323	1366.226	1388.548	0.986	1385.348	1360.497	0.259	422.582	0.259	0.000	0.000
422.780	1263.443	1354.245	1379.128	0.986	1377.413	1353.053	0.259	422.780	0.259	0.000	0.000
422.977	1271.481	1365.816	1382.916	0.986	1393.284	1358.650	0.259	422.977	0.259	0.000	0.000
423.174	1268.640	1357.342	1376.158	0.986	1375.006	1362.748	0.260	423.174	0.260	0.000	0.000
423.372	1273.069	1360.798	1382.430	0.986	1382.916	1359.999	0.260	423.372	0.260	0.000	0.000
423.569	1268.793	1352.248	1382.021	0.986	1373.957	1357.529	0.260	423.569	0.260	0.000	0.000
423.767	1273.299	1354.091	1382.533	0.985	1378.462	1363.629	0.261	423.767	0.261	0.000	0.000
423.964	1262.854	1352.555	1377.822	0.985	1375.800	1348.385	0.261	423.964	0.261	0.000	0.000
424.162	1274.630	1357.342	1384.196	0.984	1381.278	1363.455	0.262	424.162	0.262	0.000	0.000
424.359	1270.662	1348.127	1380.485	0.983	1374.571	1346.150	0.262	424.359	0.262	0.000	0.000
424.556	1268.435	1356.549	1388.676	0.982	1378.846	1353.703	0.262	424.556	0.262	0.000	0.000
424.754	1260.499	1348.075	1380.561	0.981	1380.971	1351.554	0.263	424.754	0.263	0.000	0.000
424.951	1268.768	1360.542	1380.945	0.980	1376.133	1359.777	0.263	424.951	0.263	0.000	0.000
425.149	1271.712	1355.115	1382.379	0.980	1376.440	1346.077	0.263	425.149	0.263	0.000	0.000
425.346	1271.302	1349.125	1381.253	0.979	1386.782	1345.383	0.264	425.346	0.264	0.000	0.000
425.544	1271.149	1355.423	1380.433	0.979	1375.979	1349.539	0.264	425.544	0.264	0.000	0.000
425.741	1277.958	1359.134	1387.320	0.979	1383.019	1351.756	0.264	425.741	0.264	0.000	0.000
425.939	1263.110	1364.510	1368.734	0.979	1379.998	1349.053	0.265	425.939	0.265	0.000	0.000
426.136	1274.630	1357.778	1371.397	0.980	1377.464	1352.831	0.265	426.136	0.265	0.000	0.000
426.334	1268.819	1349.509	1376.363	0.982	1376.030	1345.322	0.265	426.334	0.265	0.000	0.000
426.531	1272.813	1346.207	1378.923	0.983	1379.921	1355.928	0.266	426.531	0.266	0.000	0.000
426.729	1262.445	1361.643	1379.179	0.983	1377.976	1350.681	0.266	426.729	0.266	0.000	0.000
426.926	1266.054	1355.858	1378.923	0.983	1381.176	1358.125	0.266	426.926	0.266	0.000	0.000
427.124	1267.257	1341.932	1372.805	0.984	1376.773	1347.724	0.267	427.124	0.267	0.000	0.000
427.321	1281.030	1368.248	1386.116	0.984	1389.777	1365.760	0.267	427.321	0.267	0.000	0.000
427.519	1267.641	1357.880	1385.860	0.984	1384.939	1351.459	0.267	427.519	0.267	0.000	0.000
427.716	1276.320	1361.234	1377.361	0.983	1382.865	1355.255	0.268	427.716	0.268	0.000	0.000
427.914	1267.104	1355.269	1372.318	0.984	1372.958	1344.690	0.268	427.914	0.268	0.000	0.000
428.111	1270.355	1357.982	1381.867	0.984	1381.534	1355.708	0.268	428.111	0.268	0.000	0.000
428.309	1264.621	1360.133	1380.024	0.984	1381.048	1343.589	0.268	428.309	0.268	0.000	0.000
428.506	1275.603	1365.330	1381.713	0.984	1381.457	1354.763	0.269	428.506	0.269	0.000	0.000
428.704	1265.875	1353.733	1373.931	0.985	1381.534	1358.788	0.269	428.704	0.269	0.000	0.000
