wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.122	1318.354	1314.591	1319.916	0.996	1318.866	1311.200	0.201	405.122	0.201	25.800	35.000
405.318	1320.658	1317.765	1326.444	0.995	1321.913	1320.880	0.201	405.318	0.201	0.000	0.000
405.514	1331.896	1339.679	1333.100	0.996	1324.242	1328.223	0.201	405.514	0.201	0.000	0.000
405.710	1347.743	1339.909	1349.893	0.997	1335.429	1336.118	0.201	405.710	0.201	0.000	0.000
405.906	1332.101	1337.503	1338.424	0.997	1333.663	1339.160	0.201	405.906	0.201	0.000	0.000
406.102	1340.165	1339.423	1339.986	0.997	1341.932	1343.964	0.201	406.102	0.201	0.000	0.000
406.298	1323.295	1332.460	1334.712	0.997	1325.522	1320.669	0.201	406.298	0.201	0.000	0.000
406.494	1334.456	1336.632	1344.210	0.998	1329.695	1333.537	0.201	406.494	0.201	0.000	0.000
406.690	1326.981	1325.599	1331.820	0.998	1327.980	1319.109	0.201	406.690	0.201	0.000	0.000
406.886	1333.228	1339.576	1341.087	0.997	1342.776	1335.215	0.201	406.886	0.201	0.000	0.000
407.082	1332.844	1334.866	1331.948	0.997	1330.258	1330.260	0.201	407.082	0.201	0.000	0.000
407.278	1340.063	1338.655	1339.269	0.998	1337.912	1334.480	0.201	407.278	0.201	0.000	0.000
407.474	1327.340	1338.732	1336.760	0.998	1332.869	1329.541	0.201	407.474	0.201	0.000	0.000
407.671	1337.170	1339.525	1337.784	0.998	1341.522	1336.690	0.201	407.671	0.201	0.000	0.000
407.867	1337.068	1337.733	1336.863	0.999	1339.448	1333.372	0.201	407.867	0.201	0.000	0.000
408.063	1343.314	1367.864	1383.940	0.999	1361.848	1365.411	0.201	408.063	0.201	0.000	0.000
408.259	1327.007	1362.821	1400.196	0.998	1374.904	1372.986	0.201	408.259	0.201	0.000	0.000
408.455	1335.071	1380.024	1399.019	0.997	1370.629	1367.479	0.201	408.455	0.201	0.000	0.000
408.651	1333.228	1366.738	1389.009	0.995	1363.230	1365.033	0.201	408.651	0.201	0.000	0.000
408.848	1344.184	1386.680	1407.262	0.993	1388.548	1376.858	0.201	408.848	0.201	0.000	0.000
409.044	1335.660	1367.557	1388.702	0.991	1372.241	1363.278	0.201	409.044	0.201	0.000	0.000
409.240	1331.180	1371.781	1398.583	0.989	1372.088	1361.829	0.201	409.240	0.201	0.000	0.000
409.436	1339.474	1373.649	1406.673	0.987	1382.584	1364.391	0.201	409.436	0.201	0.000	0.000
409.632	1335.890	1379.461	1397.227	0.985	1364.741	1363.776	0.201	409.632	0.201	0.000	0.000
409.829	1342.572	1377.976	1395.768	0.984	1372.856	1363.147	0.201	409.829	0.201	0.000	0.000
410.025	1338.015	1374.289	1404.958	0.983	1381.329	1351.332	0.201	410.025	0.201	0.000	0.000
410.221	1337.375	1369.733	1405.598	0.982	1363.051	1345.455	0.201	410.221	0.201	0.000	0.000
410.418	1342.597	1379.921	1412.484	0.981	1378.693	1356.210	0.202	410.418	0.202	0.000	0.000
410.614	1328.210	1365.688	1397.815	0.980	1372.958	1348.135	0.202	410.614	0.202	0.000	0.000
410.810	1338.706	1374.315	1398.916	0.980	1382.021	1350.827	0.203	410.810	0.203	0.000	0.000
411.006	1331.436	1366.558	1396.791	0.979	1367.762	1348.837	0.203	411.006	0.203	0.000	0.000
411.203	1340.524	1380.510	1404.369	0.979	1379.691	1349.608	0.204	411.203	0.204	0.000	0.000
411.399	1333.125	1370.731	1396.638	0.979	1367.198	1348.273	0.204	411.399	0.204	0.000	0.000
411.595	1341.676	1362.898	1402.935	0.979	1377.822	1349.179	0.205	411.595	0.205	0.000	0.000
411.792	1336.453	1376.952	1403.729	0.979	1369.989	1346.983	0.205	411.792	0.205	0.000	0.000
411.988	1341.317	1389.060	1408.337	0.979	1380.869	1359.774	0.206	411.988	0.206	0.000	0.000
412.184	1340.933	1369.042	1401.963	0.979	1366.482	1348.034	0.206	412.184	0.206	0.000	0.000
412.381	1372.677	1409.642	1438.724	0.979	1407.057	1387.822	0.207	412.381	0.207	0.000	0.000
412.577	1342.316	1371.781	1402.884	0.979	1373.419	1350.146	0.208	412.577	0.208	0.000	0.000
412.774	1336.607	1375.928	1406.724	0.979	1380.766	1359.662	0.208	412.774	0.208	0.000	0.000
412.970	1336.760	1371.397	1409.105	0.979	1368.683	1354.571	0.209	412.970	0.209	0.000	0.000
413.166	1344.491	1375.032	1412.382	0.979	1383.556	1357.381	0.209	413.166	0.209	0.000	0.000
413.363	1327.365	1371.038	1402.935	0.978	1370.910	1351.947	0.210	413.363	0.210	0.000	0.000
413.559	1336.684	1383.428	1418.961	0.978	1387.294	1361.008	0.210	413.559	0.210	0.000	0.000
413.756	1329.951	1366.482	1409.438	0.977	1368.248	1354.295	0.211	413.756	0.211	0.000	0.000
413.952	1336.044	1380.459	1415.454	0.976	1374.776	1364.987	0.211	413.952	0.211	0.000	0.000
414.149	1340.882	1370.987	1420.241	0.975	1380.894	1366.180	0.212	414.149	0.212	0.000	0.000
414.345	1345.643	1378.821	1423.313	0.974	1372.318	1362.328	0.212	414.345	0.212	0.000	0.000
414.542	1334.789	1370.833	1421.162	0.973	1367.198	1356.624	0.213	414.542	0.213	0.000	0.000
414.738	1338.629	1377.617	1432.964	0.972	1373.726	1360.175	0.214	414.738	0.214	0.000	0.000
414.935	1335.122	1372.984	1435.472	0.970	1372.318	1358.102	0.214	414.935	0.214	0.000	0.000
415.131	1338.476	1384.452	1459.024	0.968	1382.712	1366.950	0.215	415.131	0.215	0.000	0.000
415.328	1338.604	1374.648	1459.408	0.965	1367.915	1371.117	0.215	415.328	0.215	0.000	0.000
415.524	1337.477	1380.101	1478.633	0.961	1376.670	1380.966	0.216	415.524	0.216	0.000	0.000
415.721	1335.557	1371.525	1478.275	0.957	1367.608	1373.458	0.216	415.721	0.216	0.000	0.000
415.917	1340.037	1379.333	1476.816	0.952	1378.949	1368.927	0.217	415.917	0.217	0.000	0.000
416.114	1333.868	1378.232	1456.387	0.948	1369.656	1343.534	0.217	416.114	0.217	0.000	0.000
416.311	1343.288	1381.560	1456.362	0.945	1377.259	1338.314	0.218	416.311	0.218	0.000	0.000
416.507	1339.704	1377.438	1434.397	0.943	1376.517	1318.507	0.218	416.507	0.218	0.000	0.000
416.704	1344.722	1385.912	1430.225	0.943	1374.085	1321.699	0.219	416.704	0.219	0.000	0.000
416.900	1348.792	1372.446	1421.111	0.944	1370.833	1310.451	0.219	416.900	0.219	0.000	0.000
417.097	1337.605	1381.688	1420.983	0.947	1375.928	1310.306	0.220	417.097	0.220	0.000	0.000
