wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1150.262	1243.731	1249.240	0.996	1288.418	1278.230	0.033
178.089	1160.912	1259.030	1249.220	0.998	1296.692	1300.526	-0.012
178.308	1184.217	1280.472	1279.387	1.000	1322.414	1319.446	0.009
178.526	1191.856	1284.670	1288.213	1.001	1339.638	1339.851	-0.001
178.745	1188.006	1288.377	1285.490	1.001	1336.197	1333.363	0.008
178.964	1190.198	1291.121	1286.370	1.001	1332.777	1331.771	0.003
179.182	1178.381	1268.491	1275.209	1.001	1315.636	1319.431	-0.012
179.401	1183.664	1278.731	1282.684	1.001	1328.743	1326.091	0.008
179.620	1175.596	1273.857	1270.847	1.000	1318.994	1315.319	0.011
179.838	1192.573	1293.087	1284.302	1.000	1334.764	1340.244	-0.016
180.057	1179.077	1277.871	1276.212	1.000	1322.926	1324.576	-0.005
180.275	1192.655	1276.827	1283.298	1.001	1325.138	1322.044	0.010
180.494	1186.245	1277.543	1286.370	1.000	1323.418	1319.569	0.012
180.713	1198.287	1286.698	1287.517	1.000	1329.582	1334.824	-0.017
180.931	1181.555	1284.752	1283.523	1.000	1329.111	1328.672	0.001
181.150	1180.224	1357.578	1335.808	1.000	1406.975	1358.658	0.104
181.368	1182.784	1396.285	1347.482	1.001	1432.677	1365.060	0.137
181.587	1175.309	1391.042	1352.888	1.004	1431.592	1360.763	0.140
181.805	1167.998	1370.337	1339.453	1.007	1423.277	1359.783	0.124
182.024	1183.542	1415.085	1365.033	1.011	1451.252	1396.852	0.099
182.242	1175.555	1389.301	1358.602	1.015	1427.086	1385.459	0.079
182.461	1184.648	1389.649	1365.995	1.019	1435.913	1396.911	0.073
182.679	1192.532	1406.156	1374.126	1.021	1447.279	1415.340	0.058
182.898	1177.562	1387.683	1354.158	1.023	1427.864	1399.008	0.053
183.116	1186.020	1397.657	1366.548	1.024	1435.339	1409.688	0.047
183.335	1186.818	1386.250	1364.459	1.025	1441.913	1407.751	0.062
183.553	1187.289	1392.148	1362.923	1.025	1437.899	1416.650	0.038
183.772	1192.491	1411.685	1374.412	1.025	1448.631	1420.877	0.050
183.990	1179.528	1388.523	1354.137	1.025	1437.531	1409.733	0.050
184.209	1190.730	1396.448	1354.772	1.025	1438.637	1416.608	0.040
184.427	1179.118	1390.161	1359.544	1.025	1432.636	1410.952	0.039
184.645	1184.074	1394.933	1354.015	1.025	1436.507	1407.358	0.053
184.864	1176.722	1385.676	1352.048	1.026	1427.741	1399.512	0.052
185.082	1181.473	1389.260	1348.567	1.026	1429.994	1401.166	0.054
185.300	1180.613	1391.574	1353.605	1.026	1436.630	1410.044	0.048
185.519	1204.042	1408.572	1371.770	1.027	1454.611	1421.886	0.061
185.737	1182.743	1394.708	1352.438	1.027	1430.650	1405.854	0.046
185.956	1246.701	1477.097	1434.643	1.028	1522.706	1496.484	0.043
186.174	1179.569	1403.289	1366.016	1.028	1442.794	1410.563	0.057
186.392	1182.866	1398.947	1360.261	1.028	1433.660	1406.606	0.050
186.611	1182.354	1402.265	1359.196	1.029	1443.920	1412.813	0.055
186.829	1195.072	1405.398	1368.555	1.029	1453.689	1418.826	0.063
187.047	1172.462	1403.022	1344.614	1.029	1434.152	1405.531	0.050
187.265	1191.631	1433.005	1373.532	1.030	1470.544	1422.741	0.082
187.484	1177.111	1416.007	1356.165	1.032	1453.669	1413.492	0.068
187.702	1183.705	1420.840	1358.397	1.034	1451.805	1420.255	0.054
187.920	1182.477	1428.929	1365.196	1.036	1468.107	1429.706	0.063
188.138	1189.870	1433.619	1366.118	1.038	1480.579	1432.956	0.078
188.357	1169.718	1433.250	1352.847	1.041	1468.312	1415.591	0.084
188.575	1181.227	1451.395	1356.697	1.044	1485.637	1430.419	0.087
188.793	1179.630	1458.993	1360.466	1.047	1498.171	1434.350	0.097
189.011	1190.464	1469.336	1366.159	1.052	1512.425	1445.048	0.102
189.229	1184.709	1471.363	1360.793	1.056	1512.978	1446.520	0.098
189.448	1187.330	1483.057	1366.896	1.061	1524.487	1466.117	0.083
189.666	1185.405	1490.696	1355.981	1.066	1523.709	1454.739	0.099
189.884	1185.528	1506.547	1363.415	1.072	1545.889	1477.352	0.092
190.102	1181.862	1502.984	1348.710	1.078	1540.851	1470.130	0.095
190.320	1192.020	1511.974	1360.486	1.085	1549.596	1499.497	0.066
190.538	1188.395	1484.654	1362.227	1.091	1534.748	1501.387	0.044
190.757	1194.846	1457.007	1367.081	1.095	1512.241	1512.889	-0.001
190.975	1177.234	1438.944	1360.834	1.096	1485.945	1504.295	-0.025
191.193	1187.760	1435.360	1362.268	1.094	1475.746	1505.961	-0.043
191.411	1184.095	1422.929	1353.011	1.090	1458.666	1503.131	-0.065
191.629	1188.866	1428.540	1367.367	1.085	1471.691	1502.534	-0.045
191.847	1186.081	1421.024	1364.684	1.078	1460.038	1488.859	-0.043
192.065	1182.149	1401.773	1367.879	1.071	1451.887	1478.842	-0.041
192.283	1180.490	1392.250	1362.964	1.063	1437.428	1452.885	-0.025
192.501	1184.033	1401.118	1369.804	1.055	1440.971	1456.513	-0.026
192.719	1191.733	1395.035	1376.604	1.047	1441.278	1446.436	-0.009
192.937	1201.338	1418.485	1379.655	1.040	1466.100	1448.749	0.029
193.155	1169.943	1390.591	1356.001	1.033	1432.247	1410.378	0.038
193.373	1180.347	1396.694	1355.284	1.029	1436.425	1407.706	0.052
193.591	1182.559	1398.435	1363.353	1.025	1435.913	1406.764	0.053
193.809	1189.993	1404.743	1369.129	1.023	1450.924	1410.941	0.072
194.027	1174.285	1392.967	1349.755	1.022	1425.140	1395.511	0.055
194.245	1184.115	1399.623	1364.357	1.022	1434.950	1401.124	0.063
194.463	1189.747	1404.313	1359.155	1.022	1442.630	1406.251	0.067
194.681	1185.323	1397.923	1358.520	1.023	1442.262	1403.132	0.072
194.899	1188.559	1399.500	1356.697	1.024	1440.111	1398.715	0.078
195.117	1188.743	1402.920	1366.671	1.025	1447.627	1417.664	0.053
195.335	1181.862	1391.349	1358.684	1.026	1443.122	1411.125	0.057
195.553	1185.958	1408.613	1377.075	1.026	1455.799	1425.922	0.051
195.770	1176.742	1391.083	1345.024	1.027	1434.766	1398.509	0.066
195.988	1179.937	1408.040	1356.472	1.027	1440.336	1409.413	0.055
196.206	1185.180	1401.507	1356.513	1.028	1440.398	1407.613	0.060
196.424	1184.770	1396.018	1362.350	1.029	1445.088	1417.107	0.049
196.642	1177.766	1387.335	1350.246	1.030	1430.240	1404.312	0.047
196.860	1199.618	1412.689	1367.244	1.030	1455.123	1424.544	0.055
197.078	1180.654	1395.896	1346.908	1.030	1435.257	1413.758	0.038
197.295	1187.412	1407.548	1375.662	1.031	1458.911	1426.436	0.055
197.513	1182.743	1413.938	1363.906	1.031	1448.876	1420.034	0.050
197.731	1184.791	1413.529	1366.016	1.031	1444.350	1422.698	0.038
197.949	1180.142	1404.620	1362.636	1.032	1433.373	1409.547	0.043
198.167	1200.355	1421.311	1364.951	1.032	1452.460	1437.004	0.027
198.384	1179.569	1398.967	1355.960	1.033	1448.876	1418.715	0.052
198.602	1191.897	1404.702	1364.828	1.033	1452.030	1421.408	0.054
198.820	1190.873	1405.931	1362.636	1.033	1443.818	1420.289	0.042
199.038	1177.562	1409.187	1352.970	1.033	1443.797	1413.909	0.052
199.255	1180.285	1412.812	1356.615	1.034	1444.944	1410.350	0.061
199.473	1183.685	1408.060	1363.886	1.035	1451.744	1428.949	0.039
199.691	1185.037	1413.877	1366.978	1.035	1459.137	1427.300	0.054
199.908	1173.281	1398.886	1356.206	1.035	1440.152	1410.515	0.051
200.126	1188.703	1407.897	1373.204	1.035	1455.901	1427.228	0.049
200.344	1193.392	1403.412	1361.305	1.035	1454.385	1414.261	0.072
200.561	1185.794	1407.774	1360.261	1.034	1445.620	1419.305	0.046
200.779	1180.552	1399.008	1355.694	1.033	1433.640	1415.384	0.033
200.997	1190.382	1401.364	1362.821	1.033	1445.907	1409.127	0.067
201.214	1186.757	1405.050	1363.701	1.032	1447.177	1423.114	0.042
201.432	1181.125	1399.111	1353.789	1.032	1441.197	1413.694	0.049
201.650	1197.140	1406.402	1367.040	1.031	1454.201	1424.101	0.054
201.867	1176.148	1392.168	1349.140	1.031	1431.919	1409.874	0.039
