wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1150.262	1243.731	1249.240	0.996	1288.111	1280.086	0.026
178.089	1160.912	1259.030	1249.220	0.998	1289.135	1286.440	0.009
178.308	1184.217	1280.472	1279.387	1.000	1323.725	1318.483	0.017
178.526	1191.856	1284.670	1288.213	1.001	1334.989	1334.768	0.001
178.745	1188.006	1288.377	1285.490	1.001	1329.705	1325.021	0.015
178.964	1190.198	1291.121	1286.370	1.001	1332.347	1339.437	-0.021
179.182	1178.381	1268.491	1275.209	1.001	1308.509	1313.343	-0.016
179.401	1183.664	1278.731	1282.684	1.001	1324.933	1318.795	0.019
179.620	1175.596	1273.857	1270.847	1.000	1310.802	1316.815	-0.019
179.838	1192.573	1293.087	1284.302	1.000	1335.173	1333.484	0.005
180.057	1179.077	1277.871	1276.212	1.000	1324.811	1328.141	-0.010
180.275	1192.655	1276.827	1283.298	1.001	1317.090	1326.572	-0.032
180.494	1186.245	1277.543	1286.370	1.000	1325.855	1325.162	0.002
180.713	1198.287	1286.698	1287.517	1.000	1323.438	1322.700	0.003
180.931	1181.555	1284.752	1283.523	1.000	1326.674	1327.792	-0.003
181.150	1180.224	1357.578	1335.808	1.000	1401.527	1353.376	0.107
181.368	1182.784	1396.285	1347.482	1.001	1432.390	1359.362	0.150
181.587	1175.309	1391.042	1352.888	1.004	1431.284	1366.127	0.128
181.805	1167.998	1370.337	1339.453	1.007	1420.901	1353.987	0.133
182.024	1183.542	1415.085	1365.033	1.011	1446.808	1395.444	0.094
182.242	1175.555	1389.301	1358.602	1.015	1431.407	1390.677	0.075
182.461	1184.648	1389.649	1365.995	1.019	1431.325	1392.760	0.074
182.679	1192.532	1406.156	1374.126	1.021	1441.278	1406.725	0.065
182.898	1177.562	1387.683	1354.158	1.023	1425.448	1398.065	0.051
183.116	1186.020	1397.657	1366.548	1.024	1434.397	1412.541	0.040
183.335	1186.818	1386.250	1364.459	1.025	1431.100	1411.193	0.037
183.553	1187.289	1392.148	1362.923	1.025	1436.425	1406.008	0.057
183.772	1192.491	1411.685	1374.412	1.025	1448.876	1421.233	0.050
183.990	1179.528	1388.523	1354.137	1.025	1426.062	1396.407	0.056
184.209	1190.730	1396.448	1354.772	1.025	1435.933	1402.861	0.063
184.427	1179.118	1390.161	1359.544	1.025	1434.254	1406.565	0.050
184.645	1184.074	1394.933	1354.015	1.025	1437.879	1406.056	0.058
184.864	1176.722	1385.676	1352.048	1.026	1424.260	1399.175	0.046
185.082	1181.473	1389.260	1348.567	1.026	1420.348	1402.658	0.033
185.300	1180.613	1391.574	1353.605	1.026	1433.558	1398.988	0.064
185.519	1204.042	1408.572	1371.770	1.027	1454.324	1412.613	0.079
185.737	1182.743	1394.708	1352.438	1.027	1432.738	1410.398	0.041
185.956	1246.701	1477.097	1434.643	1.028	1518.077	1493.516	0.041
186.174	1179.569	1403.289	1366.016	1.028	1444.412	1406.795	0.067
186.392	1182.866	1398.947	1360.261	1.028	1437.264	1407.870	0.053
186.611	1182.354	1402.265	1359.196	1.029	1444.699	1404.850	0.072
186.829	1195.072	1405.398	1368.555	1.029	1448.590	1413.032	0.066
187.047	1172.462	1403.022	1344.614	1.029	1441.463	1392.484	0.087
187.265	1191.631	1433.005	1373.532	1.030	1470.093	1423.290	0.080
187.484	1177.111	1416.007	1356.165	1.032	1446.644	1408.189	0.067
187.702	1183.705	1420.840	1358.397	1.034	1451.600	1411.766	0.070
187.920	1182.477	1428.929	1365.196	1.036	1462.618	1424.954	0.063
188.138	1189.870	1433.619	1366.118	1.038	1480.907	1428.258	0.087
188.357	1169.718	1433.250	1352.847	1.041	1456.249	1410.220	0.076
188.575	1181.227	1451.395	1356.697	1.044	1485.924	1431.252	0.086
188.793	1179.630	1458.993	1360.466	1.047	1494.300	1430.318	0.099
189.011	1190.464	1469.336	1366.159	1.052	1507.203	1448.429	0.089
189.229	1184.709	1471.363	1360.793	1.056	1505.380	1447.256	0.087
189.448	1187.330	1483.057	1366.896	1.061	1524.815	1455.948	0.099
189.666	1185.405	1490.696	1355.981	1.066	1521.047	1449.673	0.104
189.884	1185.528	1506.547	1363.415	1.072	1542.755	1471.030	0.097
190.102	1181.862	1502.984	1348.710	1.078	1536.898	1471.079	0.089
190.320	1192.020	1511.974	1360.486	1.085	1544.865	1491.122	0.072
190.538	1188.395	1484.654	1362.227	1.091	1524.446	1494.954	0.040
190.757	1194.846	1457.007	1367.081	1.095	1517.688	1515.310	0.003
190.975	1177.234	1438.944	1360.834	1.096	1477.978	1499.672	-0.030
191.193	1187.760	1435.360	1362.268	1.094	1477.466	1499.664	-0.032
191.411	1184.095	1422.929	1353.011	1.090	1457.253	1489.043	-0.048
191.629	1188.866	1428.540	1367.367	1.085	1471.875	1503.378	-0.046
191.847	1186.081	1421.024	1364.684	1.078	1455.860	1480.137	-0.037
192.065	1182.149	1401.773	1367.879	1.071	1446.972	1478.250	-0.048
192.283	1180.490	1392.250	1362.964	1.063	1426.349	1450.642	-0.041
192.501	1184.033	1401.118	1369.804	1.055	1441.586	1448.367	-0.011
192.719	1191.733	1395.035	1376.604	1.047	1445.415	1444.720	0.001
192.937	1201.338	1418.485	1379.655	1.040	1452.235	1444.896	0.013
193.155	1169.943	1390.591	1356.001	1.033	1428.561	1398.971	0.053
193.373	1180.347	1396.694	1355.284	1.029	1434.909	1396.330	0.071
193.591	1182.559	1398.435	1363.353	1.025	1444.064	1412.476	0.056
193.809	1189.993	1404.743	1369.129	1.023	1449.573	1409.600	0.073
194.027	1174.285	1392.967	1349.755	1.022	1425.448	1390.425	0.065
194.245	1184.115	1399.623	1364.357	1.022	1436.056	1391.269	0.085
194.463	1189.747	1404.313	1359.155	1.022	1438.125	1405.455	0.061
194.681	1185.323	1397.923	1358.520	1.023	1436.834	1397.351	0.074
194.899	1188.559	1399.500	1356.697	1.024	1434.520	1401.965	0.062
195.117	1188.743	1402.920	1366.671	1.025	1445.927	1418.084	0.050
195.335	1181.862	1391.349	1358.684	1.026	1436.957	1402.638	0.063
195.553	1185.958	1408.613	1377.075	1.026	1443.142	1417.346	0.046
195.770	1176.742	1391.083	1345.024	1.027	1430.977	1384.253	0.088
195.988	1179.937	1408.040	1356.472	1.027	1437.572	1414.862	0.040
196.206	1185.180	1401.507	1356.513	1.028	1436.240	1402.811	0.062
196.424	1184.770	1396.018	1362.350	1.029	1437.039	1402.625	0.064
196.642	1177.766	1387.335	1350.246	1.030	1430.178	1402.414	0.051
196.860	1199.618	1412.689	1367.244	1.030	1457.519	1421.992	0.064
197.078	1180.654	1395.896	1346.908	1.030	1436.302	1404.494	0.058
197.295	1187.412	1407.548	1375.662	1.031	1454.283	1421.159	0.058
197.513	1182.743	1413.938	1363.906	1.031	1443.695	1418.683	0.044
197.731	1184.791	1413.529	1366.016	1.031	1448.487	1417.925	0.053
197.949	1180.142	1404.620	1362.636	1.032	1436.343	1405.744	0.055
198.167	1200.355	1421.311	1364.951	1.032	1446.849	1427.387	0.036
198.384	1179.569	1398.967	1355.960	1.033	1445.293	1413.872	0.055
198.602	1191.897	1404.702	1364.828	1.033	1451.273	1424.243	0.048
198.820	1190.873	1405.931	1362.636	1.033	1442.753	1414.047	0.053
199.038	1177.562	1409.187	1352.970	1.033	1440.828	1414.353	0.046
199.255	1180.285	1412.812	1356.615	1.034	1442.978	1405.650	0.067
199.473	1183.685	1408.060	1363.886	1.035	1452.174	1414.436	0.066
199.691	1185.037	1413.877	1366.978	1.035	1446.869	1419.648	0.048
199.908	1173.281	1398.886	1356.206	1.035	1438.452	1413.123	0.044
200.126	1188.703	1407.897	1373.204	1.035	1452.911	1433.248	0.034
200.344	1193.392	1403.412	1361.305	1.035	1444.862	1423.329	0.039
200.561	1185.794	1407.774	1360.261	1.034	1441.278	1411.048	0.055
200.779	1180.552	1399.008	1355.694	1.033	1437.695	1411.596	0.046
200.997	1190.382	1401.364	1362.821	1.033	1441.995	1416.658	0.046
201.214	1186.757	1405.050	1363.701	1.032	1444.432	1418.463	0.046
201.432	1181.125	1399.111	1353.789	1.032	1427.598	1407.291	0.037
201.650	1197.140	1406.402	1367.040	1.031	1454.242	1414.911	0.072
201.867	1176.148	1392.168	1349.140	1.031	1435.176	1402.841	0.058
202.085	1200.437	1417.379	1382.666	1.031	1459.649	1428.633	0.055
202.302	1182.518	1398.947	1367.388	1.030	1441.606	1410.621	0.055
202.520	1184.115	1401.671	1363.374	1.030	1444.125	1413.812	0.054
202.738	1183.050	1395.384	1357.721	1.029	1429.318	1405.821	0.044
202.955	1183.972	1396.899	1352.212	1.028	1428.909	1402.462	0.050
203.173	1183.419	1406.606	1361.469	1.028	1436.118	1408.520	0.050
203.390	1187.904	1405.808	1363.722	1.029	1446.235	1409.371	0.067
203.608	1179.282	1396.879	1355.878	1.029	1438.002	1399.450	0.070
203.825	1192.921	1407.692	1371.852	1.029	1449.839	1420.893	0.052
204.043	1179.610	1402.265	1360.834	1.029	1442.753	1407.996	0.062
204.260	1204.554	1416.355	1369.968	1.029	1457.785	1423.721	0.063
204.478	1182.272	1402.039	1352.212	1.030	1435.810	1407.213	0.052
204.695	1193.269	1420.922	1367.224	1.031	1448.364	1424.018	0.044
204.913	1176.701	1401.118	1355.120	1.032	1434.008	1403.693	0.054
205.130	1183.050	1404.251	1356.841	1.032	1439.374	1404.051	0.064
205.347	1180.224	1408.962	1358.459	1.033	1438.350	1406.509	0.057
205.565	1185.119	1414.778	1361.551	1.034	1445.395	1426.204	0.033
205.782	1191.447	1396.858	1357.148	1.035	1444.371	1412.781	0.058
206.000	1185.139	1404.763	1366.139	1.035	1437.817	1413.056	0.045
206.217	1184.381	1405.746	1368.617	1.035	1445.190	1417.961	0.048
