wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.253	1318.661	1322.706	1324.652	0.999	1314.898	1321.837	0.212	405.253	0.212	25.712	35.000
405.450	1325.292	1330.847	1326.137	1.000	1330.616	1325.272	0.212	405.450	0.212	0.000	0.000
405.646	1336.581	1334.149	1335.352	1.000	1338.988	1336.681	0.212	405.646	0.212	0.000	0.000
405.843	1347.487	1348.203	1353.426	1.000	1342.674	1340.076	0.212	405.843	0.212	0.000	0.000
406.039	1341.599	1351.301	1341.164	1.000	1338.578	1337.571	0.212	406.039	0.212	0.000	0.000
406.236	1352.376	1351.019	1355.269	1.000	1341.138	1348.223	0.212	406.236	0.212	0.000	0.000
406.432	1336.274	1342.060	1339.090	1.000	1333.432	1332.684	0.212	406.432	0.212	0.000	0.000
406.629	1342.802	1352.197	1344.056	1.001	1338.296	1338.621	0.212	406.629	0.212	0.000	0.000
406.826	1339.858	1345.695	1345.285	1.001	1332.306	1339.172	0.212	406.826	0.212	0.000	0.000
407.022	1352.376	1346.565	1351.071	1.001	1348.562	1345.391	0.212	407.022	0.212	0.000	0.000
407.219	1338.885	1337.887	1341.932	1.001	1338.527	1341.609	0.212	407.219	0.212	0.000	0.000
407.415	1341.906	1337.605	1337.221	1.001	1337.733	1344.133	0.212	407.415	0.212	0.000	0.000
407.612	1346.027	1342.136	1343.928	1.000	1336.351	1337.250	0.212	407.612	0.212	0.000	0.000
407.809	1344.261	1347.307	1348.792	1.000	1340.677	1342.733	0.212	407.809	0.212	0.000	0.000
408.005	1336.120	1352.274	1340.754	1.000	1340.037	1346.715	0.212	408.005	0.212	0.000	0.000
408.202	1349.509	1373.368	1387.448	1.000	1365.918	1373.190	0.212	408.202	0.212	0.000	0.000
408.399	1334.047	1373.905	1403.038	0.999	1378.846	1376.690	0.212	408.399	0.212	0.000	0.000
408.595	1344.415	1380.971	1403.524	0.998	1370.782	1374.042	0.212	408.595	0.212	0.000	0.000
408.792	1335.480	1371.166	1396.100	0.996	1363.947	1368.623	0.212	408.792	0.212	0.000	0.000
408.989	1350.021	1391.236	1416.913	0.994	1382.635	1383.675	0.212	408.989	0.212	0.000	0.000
409.185	1341.420	1375.006	1401.758	0.991	1372.523	1359.038	0.212	409.185	0.212	0.000	0.000
409.382	1352.530	1379.614	1398.583	0.989	1383.736	1371.736	0.212	409.382	0.212	0.000	0.000
409.579	1351.480	1384.427	1403.499	0.987	1381.278	1365.424	0.212	409.579	0.212	0.000	0.000
409.775	1338.808	1376.133	1410.538	0.986	1375.953	1364.641	0.212	409.775	0.212	0.000	0.000
409.972	1348.587	1380.536	1404.651	0.984	1378.539	1356.021	0.212	409.972	0.212	0.000	0.000
410.169	1345.618	1385.092	1412.330	0.983	1374.904	1360.986	0.212	410.169	0.212	0.000	0.000
410.366	1349.919	1379.486	1403.755	0.982	1367.326	1352.223	0.213	410.366	0.213	0.000	0.000
410.562	1355.679	1387.704	1420.625	0.981	1381.125	1363.617	0.213	410.562	0.213	0.000	0.000
410.759	1337.375	1368.094	1399.966	0.981	1374.136	1352.314	0.214	410.759	0.214	0.000	0.000
410.956	1346.104	1386.859	1406.750	0.980	1388.369	1360.870	0.214	410.956	0.214	0.000	0.000
411.153	1347.205	1374.673	1403.934	0.980	1375.902	1355.332	0.215	411.153	0.215	0.000	0.000
411.349	1338.373	1385.937	1407.748	0.980	1383.249	1351.108	0.215	411.349	0.215	0.000	0.000
411.546	1344.568	1381.893	1402.884	0.980	1371.064	1355.550	0.216	411.546	0.216	0.000	0.000
411.743	1345.336	1379.537	1414.609	0.980	1384.504	1359.823	0.217	411.743	0.217	0.000	0.000
411.940	1345.259	1385.425	1401.143	0.981	1373.854	1345.046	0.217	411.940	0.217	0.000	0.000
412.136	1346.565	1392.670	1417.041	0.981	1384.273	1367.163	0.218	412.136	0.218	0.000	0.000
412.333	1330.002	1378.437	1412.740	0.981	1375.057	1354.291	0.218	412.333	0.218	0.000	0.000
412.530	1380.561	1413.918	1441.898	0.981	1414.353	1389.711	0.219	412.530	0.219	0.000	0.000
412.727	1343.160	1383.940	1406.852	0.981	1380.177	1361.125	0.219	412.727	0.219	0.000	0.000
412.924	1350.968	1387.857	1419.038	0.981	1378.744	1359.945	0.220	412.924	0.220	0.000	0.000
413.120	1337.708	1382.942	1409.335	0.981	1378.104	1362.229	0.220	413.120	0.220	0.000	0.000
413.317	1356.037	1386.987	1422.519	0.981	1382.993	1360.402	0.221	413.317	0.221	0.000	0.000
413.514	1340.344	1374.904	1413.610	0.981	1366.379	1349.105	0.222	413.514	0.222	0.000	0.000
413.711	1359.416	1389.060	1424.977	0.980	1388.190	1369.378	0.222	413.711	0.222	0.000	0.000
413.908	1344.415	1381.253	1414.711	0.979	1376.363	1353.368	0.223	413.908	0.223	0.000	0.000
414.105	1345.951	1388.881	1426.026	0.978	1381.867	1363.859	0.223	414.105	0.223	0.000	0.000
414.301	1344.927	1379.793	1427.665	0.977	1379.665	1366.968	0.224	414.301	0.224	0.000	0.000
414.498	1349.125	1388.241	1441.540	0.976	1383.787	1367.994	0.224	414.498	0.224	0.000	0.000
414.695	1339.244	1372.369	1433.527	0.974	1373.240	1364.221	0.225	414.695	0.225	0.000	0.000
414.892	1345.362	1393.310	1448.451	0.972	1376.312	1363.335	0.225	414.892	0.225	0.000	0.000
415.089	1335.122	1372.344	1441.847	0.969	1373.137	1359.233	0.226	415.089	0.226	0.000	0.000
415.286	1352.171	1381.688	1460.586	0.966	1388.292	1373.207	0.226	415.286	0.226	0.000	0.000
415.483	1345.055	1380.357	1461.200	0.963	1376.465	1372.762	0.227	415.483	0.227	0.000	0.000
415.680	1352.658	1389.291	1482.269	0.960	1383.198	1383.656	0.227	415.680	0.227	0.000	0.000
415.876	1343.288	1378.027	1480.912	0.956	1373.061	1365.232	0.228	415.876	0.228	0.000	0.000
416.073	1345.157	1383.659	1487.798	0.951	1384.913	1370.804	0.228	416.073	0.228	0.000	0.000
416.270	1341.650	1380.357	1458.922	0.947	1372.472	1341.615	0.229	416.270	0.229	0.000	0.000
416.467	1356.958	1394.846	1448.349	0.944	1383.454	1336.331	0.229	416.467	0.229	0.000	0.000
416.664	1346.514	1385.246	1433.604	0.943	1385.630	1321.698	0.230	416.664	0.230	0.000	0.000
416.861	1350.354	1390.724	1437.648	0.944	1378.616	1330.140	0.230	416.861	0.230	0.000	0.000
417.058	1340.268	1376.721	1417.118	0.946	1369.374	1313.932	0.231	417.058	0.231	0.000	0.000
417.255	1349.330	1391.416	1418.398	0.949	1374.545	1326.043	0.231	417.255	0.231	0.000	0.000
417.452	1346.616	1382.686	1418.346	0.954	1379.947	1320.090	0.232	417.452	0.232	0.000	0.000
417.649	1351.711	1394.411	1426.129	0.958	1386.526	1327.940	0.232	417.649	0.232	0.000	0.000
417.846	1351.224	1387.422	1410.820	0.962	1387.038	1332.015	0.233	417.846	0.233	0.000	0.000
418.043	1349.586	1396.971	1411.537	0.967	1379.947	1342.041	0.233	418.043	0.233	0.000	0.000
418.240	1345.311	1380.177	1404.292	0.971	1375.211	1338.125	0.234	418.240	0.234	0.000	0.000
418.437	1349.867	1381.125	1408.670	0.975	1379.281	1354.140	0.234	418.437	0.234	0.000	0.000
418.634	1343.544	1383.147	1415.402	0.978	1382.712	1351.935	0.235	418.634	0.235	0.000	0.000
418.831	1357.061	1395.640	1416.196	0.981	1390.468	1369.392	0.235	418.831	0.235	0.000	0.000
419.028	1341.496	1379.947	1401.374	0.982	1372.574	1352.159	0.236	419.028	0.236	0.000	0.000
419.225	1344.619	1386.654	1413.201	0.984	1375.006	1368.409	0.236	419.225	0.236	0.000	0.000
419.422	1344.875	1371.601	1412.561	0.984	1372.881	1362.437	0.237	419.422	0.237	0.000	0.000
419.619	1354.091	1388.011	1417.783	0.984	1385.246	1365.345	0.237	419.619	0.237	0.000	0.000
419.816	1334.277	1376.670	1405.879	0.984	1372.293	1355.389	0.238	419.816	0.238	0.000	0.000
420.013	1346.335	1386.500	1416.478	0.983	1382.788	1364.075	0.238	420.013	0.238	0.000	0.000
420.210	1342.853	1386.424	1401.707	0.982	1385.886	1356.009	0.239	420.210	0.239	0.000	0.000
420.407	1346.821	1381.457	1414.481	0.982	1386.961	1357.762	0.239	420.407	0.239	0.000	0.000
420.604	1347.640	1385.220	1407.825	0.982	1379.179	1355.074	0.240	420.604	0.240	0.000	0.000
420.801	1358.008	1382.814	1413.175	0.981	1380.843	1368.993	0.240	420.801	0.240	0.000	0.000
420.998	1339.884	1383.659	1413.406	0.981	1372.165	1357.424	0.241	420.998	0.241	0.000	0.000
421.195	1348.075	1387.908	1416.247	0.981	1389.726	1364.235	0.241	421.195	0.241	0.000	0.000
421.392	1345.208	1386.296	1407.748	0.981	1379.230	1353.415	0.242	421.392	0.242	0.000	0.000
421.589	1346.232	1394.923	1412.612	0.981	1379.102	1362.787	0.242	421.589	0.242	0.000	0.000
