wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.161	1318.354	1314.591	1319.916	0.996	1313.286	1301.231	0.232	405.161	0.232	25.958	35.000
405.360	1320.658	1317.765	1326.444	0.995	1325.599	1315.809	0.232	405.360	0.232	0.000	0.000
405.558	1331.896	1339.679	1333.100	0.996	1326.674	1324.653	0.232	405.558	0.232	0.000	0.000
405.757	1347.743	1339.909	1349.893	0.997	1334.943	1334.638	0.232	405.757	0.232	0.000	0.000
405.956	1332.101	1337.503	1338.424	0.997	1338.066	1322.136	0.232	405.956	0.232	0.000	0.000
406.154	1340.165	1339.423	1339.986	0.997	1352.504	1339.446	0.232	406.154	0.232	0.000	0.000
406.353	1323.295	1332.460	1334.712	0.997	1321.682	1314.669	0.232	406.353	0.232	0.000	0.000
406.551	1334.456	1336.632	1344.210	0.998	1336.018	1329.834	0.232	406.551	0.232	0.000	0.000
406.750	1326.981	1325.599	1331.820	0.998	1329.490	1325.008	0.232	406.750	0.232	0.000	0.000
406.949	1333.228	1339.576	1341.087	0.997	1333.765	1334.960	0.232	406.949	0.232	0.000	0.000
407.147	1332.844	1334.866	1331.948	0.997	1328.057	1325.179	0.232	407.147	0.232	0.000	0.000
407.346	1340.063	1338.655	1339.269	0.998	1332.050	1329.730	0.232	407.346	0.232	0.000	0.000
407.544	1327.340	1338.732	1336.760	0.998	1332.357	1335.877	0.232	407.544	0.232	0.000	0.000
407.743	1337.170	1339.525	1337.784	0.998	1336.197	1331.119	0.232	407.743	0.232	0.000	0.000
407.942	1337.068	1337.733	1336.863	0.999	1328.620	1338.077	0.232	407.942	0.232	0.000	0.000
408.140	1343.314	1367.864	1383.940	0.999	1363.154	1364.669	0.232	408.140	0.232	0.000	0.000
408.339	1327.007	1362.821	1400.196	0.998	1367.403	1368.615	0.232	408.339	0.232	0.000	0.000
408.537	1335.071	1380.024	1399.019	0.997	1372.574	1365.157	0.232	408.537	0.232	0.000	0.000
408.736	1333.228	1366.738	1389.009	0.995	1368.683	1364.192	0.232	408.736	0.232	0.000	0.000
408.934	1344.184	1386.680	1407.262	0.993	1370.475	1371.674	0.232	408.934	0.232	0.000	0.000
409.133	1335.660	1367.557	1388.702	0.991	1364.408	1351.105	0.232	409.133	0.232	0.000	0.000
409.332	1331.180	1371.781	1398.583	0.989	1366.277	1370.410	0.232	409.332	0.232	0.000	0.000
409.530	1339.474	1373.649	1406.673	0.987	1372.881	1355.927	0.232	409.530	0.232	0.000	0.000
409.729	1335.890	1379.461	1397.227	0.985	1375.979	1354.923	0.232	409.729	0.232	0.000	0.000
409.927	1342.572	1377.976	1395.768	0.984	1368.990	1346.496	0.232	409.927	0.232	0.000	0.000
410.126	1338.015	1374.289	1404.958	0.983	1371.448	1352.993	0.233	410.126	0.233	0.000	0.000
410.324	1337.375	1369.733	1405.598	0.982	1372.062	1339.973	0.233	410.324	0.233	0.000	0.000
410.523	1342.597	1379.921	1412.484	0.981	1376.670	1356.888	0.234	410.523	0.234	0.000	0.000
410.721	1328.210	1365.688	1397.815	0.980	1367.326	1344.772	0.234	410.721	0.234	0.000	0.000
410.920	1338.706	1374.315	1398.916	0.980	1374.033	1356.344	0.235	410.920	0.235	0.000	0.000
411.118	1331.436	1366.558	1396.791	0.979	1363.998	1342.321	0.235	411.118	0.235	0.000	0.000
411.317	1340.524	1380.510	1404.369	0.979	1372.088	1349.708	0.236	411.317	0.236	0.000	0.000
411.515	1333.125	1370.731	1396.638	0.979	1365.944	1342.586	0.236	411.515	0.236	0.000	0.000
411.714	1341.676	1362.898	1402.935	0.979	1374.085	1347.224	0.237	411.714	0.237	0.000	0.000
411.912	1336.453	1376.952	1403.729	0.979	1365.688	1343.826	0.237	411.912	0.237	0.000	0.000
412.111	1341.317	1389.060	1408.337	0.979	1372.139	1359.047	0.238	412.111	0.238	0.000	0.000
412.309	1340.933	1369.042	1401.963	0.979	1370.654	1346.380	0.238	412.309	0.238	0.000	0.000
412.508	1372.677	1409.642	1438.724	0.979	1408.081	1380.453	0.239	412.508	0.239	0.000	0.000
412.706	1342.316	1371.781	1402.884	0.979	1368.632	1344.857	0.240	412.706	0.240	0.000	0.000
412.905	1336.607	1375.928	1406.724	0.979	1374.289	1348.607	0.240	412.905	0.240	0.000	0.000
413.103	1336.760	1371.397	1409.105	0.979	1365.816	1356.075	0.241	413.103	0.241	0.000	0.000
413.302	1344.491	1375.032	1412.382	0.979	1377.566	1350.466	0.241	413.302	0.241	0.000	0.000
413.500	1327.365	1371.038	1402.935	0.978	1363.819	1344.310	0.242	413.500	0.242	0.000	0.000
413.699	1336.684	1383.428	1418.961	0.978	1378.437	1359.406	0.242	413.699	0.242	0.000	0.000
413.897	1329.951	1366.482	1409.438	0.977	1358.315	1342.390	0.243	413.897	0.243	0.000	0.000
414.096	1336.044	1380.459	1415.454	0.976	1369.861	1359.839	0.243	414.096	0.243	0.000	0.000
414.294	1340.882	1370.987	1420.241	0.975	1370.859	1352.672	0.244	414.294	0.244	0.000	0.000
414.493	1345.643	1378.821	1423.313	0.974	1370.577	1364.897	0.245	414.493	0.245	0.000	0.000
414.691	1334.789	1370.833	1421.162	0.973	1367.147	1350.521	0.245	414.691	0.245	0.000	0.000
414.890	1338.629	1377.617	1432.964	0.972	1373.061	1354.479	0.246	414.890	0.246	0.000	0.000
415.088	1335.122	1372.984	1435.472	0.970	1368.504	1361.405	0.246	415.088	0.246	0.000	0.000
415.286	1338.476	1384.452	1459.024	0.968	1376.209	1362.267	0.247	415.286	0.247	0.000	0.000
415.485	1338.604	1374.648	1459.408	0.965	1369.937	1357.752	0.247	415.485	0.247	0.000	0.000
415.683	1337.477	1380.101	1478.633	0.961	1382.865	1371.761	0.248	415.683	0.248	0.000	0.000
415.882	1335.557	1371.525	1478.275	0.957	1363.282	1357.336	0.248	415.882	0.248	0.000	0.000
416.080	1340.037	1379.333	1476.816	0.952	1370.757	1353.837	0.249	416.080	0.249	0.000	0.000
416.279	1333.868	1378.232	1456.387	0.948	1361.131	1335.963	0.249	416.279	0.249	0.000	0.000
416.477	1343.288	1381.560	1456.362	0.945	1375.185	1331.930	0.250	416.477	0.250	0.000	0.000
416.675	1339.704	1377.438	1434.397	0.943	1372.549	1312.643	0.250	416.675	0.250	0.000	0.000
416.874	1344.722	1385.912	1430.225	0.943	1377.694	1307.245	0.251	416.874	0.251	0.000	0.000
417.072	1348.792	1372.446	1421.111	0.944	1368.683	1312.263	0.251	417.072	0.251	0.000	0.000
417.271	1337.605	1381.688	1420.983	0.947	1378.078	1312.681	0.252	417.271	0.252	0.000	0.000
417.469	1338.322	1378.513	1410.897	0.950	1378.027	1307.388	0.252	417.469	0.252	0.000	0.000
417.667	1345.003	1390.776	1415.018	0.954	1378.462	1324.539	0.253	417.667	0.253	0.000	0.000
417.866	1342.956	1377.566	1404.830	0.959	1375.339	1316.951	0.253	417.866	0.253	0.000	0.000
418.064	1342.495	1381.867	1409.438	0.964	1379.768	1325.369	0.254	418.064	0.254	0.000	0.000
418.263	1334.098	1378.437	1400.503	0.968	1361.413	1330.314	0.254	418.263	0.254	0.000	0.000
418.461	1339.858	1381.713	1416.094	0.972	1375.774	1344.140	0.255	418.461	0.255	0.000	0.000
418.659	1340.063	1377.617	1400.247	0.976	1374.213	1346.285	0.255	418.659	0.255	0.000	0.000
418.858	1345.925	1377.848	1415.326	0.978	1385.809	1355.128	0.256	418.858	0.256	0.000	0.000
419.056	1327.775	1369.554	1397.508	0.980	1370.782	1343.238	0.256	419.056	0.256	0.000	0.000
419.255	1341.701	1376.363	1410.743	0.981	1370.117	1349.551	0.257	419.255	0.257	0.000	0.000
419.453	1337.170	1372.472	1404.420	0.981	1369.298	1349.761	0.257	419.453	0.257	0.000	0.000
419.651	1337.938	1387.780	1415.044	0.981	1376.235	1356.603	0.258	419.651	0.258	0.000	0.000
419.850	1332.511	1366.379	1398.737	0.981	1363.486	1343.161	0.258	419.850	0.258	0.000	0.000
420.048	1337.989	1379.102	1412.279	0.981	1370.347	1351.424	0.259	420.048	0.259	0.000	0.000
420.246	1334.405	1372.037	1404.369	0.980	1367.122	1347.776	0.259	420.246	0.259	0.000	0.000
420.445	1341.240	1368.811	1407.671	0.980	1373.189	1354.167	0.260	420.445	0.260	0.000	0.000
420.643	1337.759	1373.214	1405.828	0.979	1374.648	1345.145	0.260	420.643	0.260	0.000	0.000
420.841	1345.387	1388.420	1414.788	0.978	1373.009	1359.375	0.261	420.841	0.261	0.000	0.000
421.040	1336.940	1381.048	1400.171	0.978	1365.202	1341.629	0.261	421.040	0.261	0.000	0.000
421.238	1343.212	1381.176	1408.337	0.978	1377.131	1354.479	0.262	421.238	0.262	0.000	0.000
421.436	1325.906	1385.579	1403.191	0.979	1367.915	1345.759	0.262	421.436	0.262	0.000	0.000
421.635	1342.060	1382.558	1405.572	0.979	1375.800	1356.304	0.263	421.635	0.263	0.000	0.000
421.833	1327.749	1378.078	1407.390	0.980	1372.779	1351.928	0.263	421.833	0.263	0.000	0.000
422.031	1340.114	1379.205	1409.233	0.981	1369.682	1357.031	0.264	422.031	0.264	0.000	0.000
422.230	1335.250	1368.965	1406.391	0.981	1368.325	1349.758	0.264	422.230	0.264	0.000	0.000
422.428	1348.613	1383.044	1415.735	0.981	1392.004	1361.425	0.265	422.428	0.265	0.000	0.000
422.626	1343.135	1376.030	1403.703	0.980	1375.032	1347.861	0.265	422.626	0.265	0.000	0.000
422.825	1341.189	1380.177	1412.842	0.980	1373.624	1357.417	0.265	422.825	0.265	0.000	0.000
423.023	1341.112	1379.179	1412.202	0.979	1371.320	1348.859	0.266	423.023	0.266	0.000	0.000
423.221	1339.192	1387.524	1416.580	0.979	1376.030	1350.883	0.266	423.221	0.266	0.000	0.000
423.419	1331.282	1370.398	1409.617	0.979	1367.506	1342.908	0.267	423.419	0.267	0.000	0.000
423.618	1345.311	1386.424	1411.102	0.978	1377.413	1356.304	0.267	423.618	0.267	0.000	0.000
423.816	1334.328	1378.283	1405.931	0.978	1370.040	1352.979	0.268	423.816	0.268	0.000	0.000
424.014	1345.746	1384.683	1411.690	0.978	1375.416	1360.203	0.268	424.014	0.268	0.000	0.000
424.213	1332.485	1378.462	1406.519	0.978	1373.035	1346.863	0.268	424.213	0.268	0.000	0.000
424.411	1334.815	1378.078	1417.783	0.978	1377.285	1353.991	0.269	424.411	0.269	0.000	0.000
424.609	1331.692	1372.600	1412.561	0.978	1365.560	1351.197	0.269	424.609	0.269	0.000	0.000
424.807	1342.495	1379.614	1416.887	0.978	1377.694	1356.895	0.270	424.807	0.270	0.000	0.000
425.006	1342.239	1371.269	1408.414	0.977	1369.758	1349.741	0.270	425.006	0.270	0.000	0.000
425.204	1345.183	1379.409	1410.897	0.976	1374.417	1354.239	0.270	425.204	0.270	0.000	0.000
425.402	1339.244	1385.323	1418.577	0.976	1378.053	1352.307	0.271	425.402	0.271	0.000	0.000
425.600	1340.780	1380.075	1424.029	0.976	1381.662	1360.584	0.271	425.600	0.271	0.000	0.000
425.799	1334.738	1372.421	1414.762	0.975	1368.504	1348.625	0.271	425.799	0.271	0.000	0.000
425.997	1334.892	1375.697	1416.503	0.974	1375.339	1345.655	0.272	425.997	0.272	0.000	0.000
426.195	1333.944	1372.625	1403.601	0.974	1372.062	1341.407	0.272	426.195	0.272	0.000	0.000
426.393	1345.311	1384.273	1403.985	0.974	1375.467	1342.453	0.273	426.393	0.273	0.000	0.000
426.592	1336.120	1373.214	1407.339	0.974	1367.301	1339.311	0.273	426.592	0.273	0.000	0.000
