wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1308.795	1308.324	1303.696	1.004	1315.062	1315.148	-0.006
178.089	1312.646	1316.250	1317.888	1.003	1322.271	1320.532	0.087
178.308	1348.690	1348.137	1350.328	1.001	1350.103	1355.254	-0.667
178.526	1362.411	1359.913	1358.643	1.001	1369.456	1363.203	0.950
178.745	1354.404	1351.250	1359.175	1.000	1356.574	1359.492	-0.370
178.964	1357.250	1359.360	1357.783	1.000	1358.889	1358.597	0.085
179.182	1340.498	1338.901	1338.880	0.999	1342.157	1334.227	NaN
179.401	1351.393	1344.410	1351.536	0.999	1352.581	1353.001	-0.132
179.620	1344.901	1341.829	1345.106	0.999	1344.655	1342.012	-1.070
179.838	1358.070	1365.094	1360.240	0.999	1362.043	1360.159	0.279
180.057	1346.888	1346.171	1351.373	0.999	1353.728	1347.297	1.223
180.275	1353.769	1353.011	1350.881	0.999	1351.229	1354.183	NaN
180.494	1354.158	1346.642	1350.123	0.999	1354.731	1347.043	NaN
180.713	1354.527	1355.858	1355.919	0.999	1358.377	1352.550	NaN
180.931	1350.328	1349.775	1350.881	0.999	1352.806	1352.415	0.075
181.150	1344.164	1448.835	1395.261	1.000	1450.658	1384.863	0.418
181.368	1343.898	1485.576	1418.444	1.002	1487.092	1396.857	0.432
181.587	1339.965	1483.753	1409.392	1.007	1480.722	1400.185	0.369
181.805	1329.951	1464.195	1400.667	1.013	1463.704	1397.938	0.294
182.024	1362.718	1498.458	1438.288	1.020	1487.276	1435.314	0.234
182.242	1345.495	1476.545	1417.235	1.026	1477.896	1431.083	0.189
182.461	1345.515	1480.210	1422.867	1.031	1485.740	1440.560	0.169
182.679	1360.732	1495.038	1431.346	1.035	1503.332	1463.276	0.143
182.898	1350.861	1476.278	1419.836	1.039	1473.452	1445.510	0.112
183.116	1356.308	1494.874	1430.424	1.042	1487.337	1462.464	0.091
183.335	1347.420	1482.975	1427.823	1.043	1482.258	1463.240	0.066
183.553	1350.574	1489.672	1427.967	1.045	1492.867	1459.575	0.116
183.772	1358.889	1500.690	1441.463	1.045	1502.124	1473.755	0.096
183.990	1341.645	1477.405	1419.119	1.045	1481.132	1454.356	0.093
184.209	1349.468	1490.921	1428.991	1.045	1483.323	1462.369	0.074
184.427	1351.864	1483.630	1424.792	1.045	1485.535	1465.905	0.069
184.645	1352.192	1486.682	1434.315	1.044	1489.221	1462.038	0.096
184.864	1345.147	1480.108	1415.126	1.044	1473.677	1444.317	0.113
185.082	1341.440	1475.807	1426.103	1.043	1479.268	1452.141	0.095
185.300	1347.502	1484.962	1431.878	1.042	1487.296	1461.641	0.088
185.519	1364.091	1497.802	1443.879	1.041	1505.278	1460.271	0.167
185.737	1348.731	1482.074	1423.932	1.041	1482.791	1451.791	0.114
185.956	1424.649	1563.563	1508.042	1.040	1571.243	1536.389	0.118
186.174	1356.288	1499.093	1432.329	1.039	1493.194	1456.289	0.136
186.392	1348.014	1488.730	1428.561	1.039	1489.529	1454.232	0.125
186.611	1346.232	1498.581	1429.687	1.040	1497.413	1456.661	0.136
186.829	1346.888	1503.946	1430.547	1.040	1508.165	1459.353	0.157
187.047	1338.122	1489.611	1415.781	1.042	1492.457	1441.221	0.175
187.265	1362.575	1513.920	1436.097	1.043	1518.077	1473.650	0.146
187.484	1342.116	1505.605	1418.956	1.045	1503.025	1453.862	0.158
187.702	1349.857	1513.736	1426.738	1.047	1519.081	1467.964	0.156
187.920	1357.783	1529.915	1434.561	1.050	1527.477	1478.299	0.149
188.138	1363.005	1533.683	1442.671	1.053	1536.427	1468.603	0.215
188.357	1335.706	1521.805	1414.901	1.056	1527.088	1462.175	0.180
188.575	1345.925	1543.984	1428.888	1.059	1553.016	1485.915	0.170
188.793	1350.963	1551.582	1428.745	1.063	1552.872	1482.567	0.186
189.011	1351.168	1569.993	1435.196	1.067	1570.096	1496.098	0.179
189.229	1348.936	1571.509	1428.991	1.071	1568.457	1498.965	0.165
189.448	1358.274	1600.201	1432.902	1.077	1597.784	1510.964	0.196
189.666	1342.362	1600.815	1425.243	1.083	1604.072	1502.740	0.213
189.884	1353.134	1614.291	1433.189	1.090	1622.544	1530.114	0.182
190.102	1339.699	1597.067	1418.382	1.097	1594.139	1520.553	0.148
190.320	1362.022	1589.695	1434.827	1.104	1593.750	1549.081	0.093
190.538	1348.546	1568.048	1436.384	1.109	1554.961	1556.000	-0.002
190.757	1363.128	1541.424	1443.204	1.111	1545.745	1571.574	-0.057
190.975	1346.150	1518.999	1422.888	1.110	1521.375	1548.418	-0.062
191.193	1357.906	1518.200	1430.670	1.106	1516.275	1553.673	-0.092
191.411	1344.020	1503.271	1426.410	1.100	1513.736	1536.106	-0.054
191.629	1360.568	1518.057	1448.385	1.093	1524.139	1549.927	-0.064
191.847	1354.772	1503.291	1440.193	1.085	1495.939	1534.971	-0.106
192.065	1356.185	1491.351	1441.893	1.077	1494.321	1513.307	-0.056
192.283	1343.160	1478.736	1430.465	1.068	1489.058	1488.062	0.003
192.501	1354.916	1497.884	1435.708	1.060	1494.935	1490.406	0.014
192.719	1358.110	1499.297	1445.559	1.053	1501.223	1483.914	0.056
192.937	1369.149	1499.830	1447.218	1.048	1519.224	1486.348	0.107
193.155	1337.508	1480.190	1415.863	1.043	1484.306	1446.989	0.127
193.373	1351.782	1486.580	1425.714	1.040	1493.686	1451.770	0.152
193.591	1353.728	1501.653	1433.312	1.038	1491.597	1447.760	0.166
193.809	1363.906	1502.615	1442.569	1.037	1495.120	1464.849	0.114
194.027	1339.290	1484.757	1423.605	1.037	1489.201	1437.108	0.185
194.245	1347.154	1488.443	1423.768	1.037	1493.829	1448.485	0.161
194.463	1344.020	1498.704	1430.383	1.038	1481.603	1453.702	0.098
194.681	1343.734	1491.024	1426.595	1.039	1491.249	1444.883	0.164
194.899	1351.373	1493.850	1426.492	1.040	1493.358	1453.176	0.144
195.117	1359.094	1496.963	1439.169	1.042	1503.475	1471.928	0.107
195.335	1350.123	1484.798	1428.581	1.042	1493.788	1461.196	0.112
195.553	1359.175	1502.513	1439.599	1.043	1504.766	1473.627	0.105
195.770	1337.795	1482.606	1419.365	1.043	1482.934	1447.047	0.123
195.988	1352.950	1493.522	1432.267	1.043	1501.223	1473.060	0.091
196.206	1350.820	1501.775	1425.837	1.044	1490.532	1464.679	0.089
196.424	1352.376	1490.286	1429.748	1.044	1489.221	1456.576	0.118
196.642	1340.621	1474.456	1424.854	1.045	1487.890	1449.164	0.133
196.860	1362.391	1508.349	1444.576	1.044	1512.609	1478.045	0.114
197.078	1338.696	1487.255	1418.956	1.044	1491.413	1455.604	0.116
197.295	1357.803	1505.278	1443.265	1.044	1507.940	1471.852	0.119
197.513	1355.141	1501.489	1434.889	1.044	1508.554	1466.896	0.138
197.731	1354.567	1497.352	1432.943	1.044	1499.625	1468.589	0.105
197.949	1346.580	1498.970	1427.987	1.044	1491.065	1457.495	0.115
198.167	1360.117	1503.189	1441.217	1.045	1502.492	1477.379	0.084
198.384	1350.185	1492.949	1425.079	1.045	1492.211	1462.716	0.101
198.602	1361.940	1507.612	1437.899	1.045	1505.728	1470.510	0.122
198.820	1352.438	1490.880	1430.281	1.046	1497.454	1467.706	0.100
199.038	1351.496	1493.625	1423.359	1.046	1496.287	1457.075	0.137
199.255	1339.105	1494.321	1428.049	1.046	1490.266	1457.262	0.107
199.473	1361.182	1505.769	1433.414	1.046	1515.579	1471.547	0.146
199.691	1348.915	1502.595	1433.373	1.047	1504.172	1459.356	0.148
199.908	1343.979	1493.829	1422.806	1.047	1493.358	1458.534	0.115
200.126	1360.589	1504.970	1436.896	1.048	1505.892	1478.434	0.091
200.344	1355.510	1500.260	1437.346	1.048	1496.799	1466.103	0.106
200.561	1348.526	1500.158	1428.499	1.048	1512.384	1467.032	0.141
200.779	1345.556	1495.099	1425.468	1.048	1493.174	1465.065	0.092
200.997	1347.379	1499.195	1424.035	1.048	1500.321	1462.290	0.124
201.214	1361.264	1502.349	1434.049	1.048	1503.393	1473.521	0.102
201.432	1343.488	1490.860	1419.529	1.049	1489.713	1457.589	0.108
201.650	1351.475	1509.087	1435.831	1.049	1504.479	1474.003	0.096
201.867	1336.156	1493.092	1412.771	1.049	1485.228	1456.604	0.093
202.085	1370.542	1517.299	1450.679	1.050	1512.343	1489.203	0.077
202.302	1358.848	1504.233	1432.370	1.050	1499.973	1473.795	0.089
202.520	1351.291	1495.058	1435.483	1.050	1498.232	1474.958	0.075
202.738	1344.328	1493.481	1424.915	1.050	1485.617	1459.675	0.088
202.955	1343.488	1491.986	1422.519	1.049	1495.386	1468.611	0.084
203.173	1345.802	1494.280	1429.933	1.049	1497.905	1470.672	0.086
203.390	1350.697	1493.072	1429.523	1.048	1507.469	1470.036	0.118
203.608	1348.772	1494.382	1422.007	1.048	1500.874	1463.352	0.123
203.825	1362.616	1513.674	1438.370	1.048	1503.782	1481.620	0.074
204.043	1345.700	1489.078	1427.987	1.048	1498.028	1467.080	0.099
204.260	1361.060	1507.858	1440.807	1.048	1511.196	1483.153	0.090
204.478	1344.676	1492.683	1424.588	1.047	1488.771	1467.953	0.068
204.695	1358.684	1510.582	1444.862	1.047	1503.107	1472.899	0.102
204.913	1343.754	1487.624	1422.662	1.047	1498.642	1457.788	0.133
205.130	1344.778	1494.915	1425.386	1.047	1492.007	1465.991	0.084
205.347	1342.239	1493.932	1426.820	1.047	1500.813	1461.198	0.125
205.565	1356.923	1510.254	1438.800	1.047	1502.451	1478.454	0.078
205.782	1351.373	1496.963	1429.646	1.047	1498.560	1467.543	0.103
206.000	1348.014	1500.403	1431.674	1.047	1500.383	1467.582	0.105
206.217	1351.455	1498.806	1435.544	1.047	1501.837	1473.953	0.089
206.435	1353.912	1506.404	1438.186	1.047	1513.060	1475.978	0.115
206.652	1346.355	1499.994	1431.510	1.047	1499.564	1466.001	0.107
