wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
407.297	1238.560	1342.648	1351.147	0.994	1358.648	1350.992	0.179	407.297	0.179	26.579	35.000
407.472	1248.826	1357.189	1353.067	0.996	1363.691	1354.735	0.179	407.472	0.179	0.000	0.000
407.646	1251.744	1357.726	1360.645	0.997	1374.213	1372.620	0.179	407.646	0.179	0.000	0.000
407.821	1261.984	1384.529	1371.576	0.999	1384.580	1387.984	0.179	407.821	0.179	0.000	0.000
407.996	1254.765	1373.009	1373.726	1.000	1380.664	1378.623	0.179	407.996	0.179	0.000	0.000
408.170	1262.931	1371.960	1378.974	1.000	1386.526	1383.953	0.179	408.170	0.179	0.000	0.000
408.345	1253.536	1367.531	1368.862	1.000	1368.632	1378.126	0.179	408.345	0.179	0.000	0.000
408.520	1264.570	1372.728	1365.611	1.000	1382.533	1375.151	0.179	408.520	0.179	0.000	0.000
408.695	1252.461	1368.734	1361.950	1.000	1369.067	1377.720	0.179	408.695	0.179	0.000	0.000
408.871	1263.059	1370.577	1373.445	1.001	1384.094	1380.579	0.179	408.871	0.179	0.000	0.000
409.046	1260.781	1368.043	1365.790	1.001	1381.329	1378.768	0.179	409.046	0.179	0.000	0.000
409.221	1263.008	1372.472	1367.378	1.001	1381.201	1376.351	0.179	409.221	0.179	0.000	0.000
409.396	1258.733	1371.960	1369.528	1.001	1380.433	1371.886	0.179	409.396	0.179	0.000	0.000
409.572	1266.925	1375.544	1377.131	1.001	1383.352	1382.810	0.179	409.572	0.179	0.000	0.000
409.748	1259.808	1369.809	1366.200	1.001	1378.309	1380.132	0.179	409.748	0.179	0.000	0.000
409.923	1251.718	1401.323	1417.604	1.001	1405.495	1413.506	0.179	409.923	0.179	0.000	0.000
410.099	1259.680	1406.750	1432.605	1.000	1413.226	1425.262	0.179	410.099	0.179	0.000	0.000
410.275	1254.253	1410.974	1430.327	0.999	1422.468	1419.544	0.179	410.275	0.179	0.000	0.000
