wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1184.054	1238.755	1243.650	0.996	1255.794	1249.709	0.038
178.089	1196.894	1243.690	1241.049	0.997	1261.795	1255.764	0.042
178.308	1215.285	1266.075	1268.819	0.998	1289.995	1296.210	-0.035
178.526	1233.594	1283.626	1275.454	0.999	1300.685	1304.698	-0.025
178.745	1219.504	1274.349	1275.864	1.000	1297.183	1296.339	0.005
178.964	1231.239	1278.813	1277.523	1.000	1300.706	1298.377	0.015
179.182	1214.241	1266.423	1267.856	1.000	1285.592	1284.400	0.007
179.401	1218.070	1268.225	1265.972	1.000	1292.289	1286.121	0.038
179.620	1211.619	1268.758	1268.409	1.000	1291.633	1290.593	0.006
179.838	1225.464	1278.711	1279.796	1.001	1299.825	1308.058	-0.046
180.057	1211.374	1272.567	1273.693	1.000	1291.470	1292.876	-0.008
180.275	1221.695	1268.983	1274.226	1.000	1288.009	1299.526	-0.070
180.494	1218.193	1269.352	1270.171	1.000	1289.995	1287.738	0.014
180.713	1222.269	1280.247	1278.526	1.000	1300.542	1299.258	0.007
180.931	1215.285	1273.058	1276.007	1.000	1292.862	1297.163	-0.023
181.150	1223.272	1346.621	1317.704	1.000	1368.698	1325.507	0.153
181.368	1216.063	1382.379	1337.733	1.001	1392.967	1332.229	0.183
181.587	1218.623	1373.655	1338.593	1.004	1395.076	1324.695	0.221
181.805	1207.523	1359.831	1332.736	1.008	1381.642	1328.167	0.159
182.024	1232.201	1394.216	1359.462	1.011	1412.320	1364.457	0.134
182.242	1213.135	1373.388	1346.417	1.014	1401.876	1350.679	0.137
182.461	1222.965	1382.379	1347.461	1.017	1398.374	1348.359	0.146
182.679	1227.921	1385.738	1355.387	1.019	1409.248	1364.563	0.123
182.898	1220.856	1377.484	1333.822	1.022	1395.424	1358.782	0.102
183.116	1226.877	1383.423	1351.782	1.023	1410.928	1378.409	0.084
183.335	1217.251	1378.734	1345.556	1.025	1398.271	1365.942	0.085
183.553	1220.446	1377.566	1347.441	1.026	1402.900	1380.297	0.057
183.772	1238.898	1387.437	1357.926	1.026	1413.180	1384.185	0.079
183.990	1218.439	1381.048	1337.406	1.026	1400.565	1362.912	0.101
184.209	1231.054	1384.693	1346.929	1.027	1400.114	1374.014	0.073
184.427	1222.637	1377.976	1345.515	1.027	1396.571	1372.602	0.064
184.645	1223.170	1385.246	1350.656	1.027	1404.804	1376.963	0.072
184.864	1214.691	1377.955	1334.272	1.027	1396.940	1364.485	0.085
185.082	1213.503	1377.628	1342.689	1.027	1400.155	1368.641	0.080
185.300	1217.497	1380.024	1344.860	1.028	1406.115	1374.270	0.080
185.519	1234.946	1393.090	1356.493	1.028	1416.088	1387.264	0.075
185.737	1216.698	1375.907	1345.208	1.027	1396.100	1370.917	0.066
185.956	1285.326	1454.754	1416.068	1.027	1477.282	1448.957	0.069
186.174	1221.531	1381.334	1345.597	1.027	1413.180	1377.587	0.089
186.392	1218.931	1391.165	1350.820	1.027	1407.282	1376.766	0.077
186.611	1218.214	1393.970	1339.310	1.027	1410.416	1377.077	0.083
186.829	1218.296	1403.944	1349.222	1.028	1422.294	1377.957	0.106
187.047	1210.902	1384.652	1333.228	1.029	1406.832	1362.292	0.112
187.265	1219.893	1401.261	1354.096	1.031	1429.175	1391.883	0.085
187.484	1211.148	1395.035	1341.542	1.033	1412.935	1371.226	0.101
187.702	1215.981	1406.012	1347.707	1.034	1428.888	1384.881	0.101
187.920	1221.695	1414.716	1351.618	1.036	1441.033	1388.141	0.120
188.138	1219.565	1428.704	1353.666	1.038	1446.194	1391.605	0.120
188.357	1206.643	1411.624	1328.394	1.040	1437.838	1379.951	0.125
188.575	1218.992	1433.271	1344.635	1.043	1451.498	1394.046	0.123
188.793	1217.395	1439.333	1343.570	1.047	1468.435	1399.333	0.140
189.011	1226.836	1458.318	1350.533	1.052	1476.278	1409.306	0.136
189.229	1218.296	1459.608	1346.396	1.056	1485.433	1415.715	0.131
189.448	1226.918	1490.389	1349.366	1.062	1508.349	1425.958	0.150
189.666	1214.486	1494.812	1343.078	1.068	1509.824	1417.883	0.162
189.884	1220.323	1495.918	1349.939	1.076	1516.623	1434.749	0.140
190.102	1210.534	1467.861	1339.576	1.083	1495.550	1436.838	0.100
190.320	1221.818	1469.233	1351.700	1.089	1491.925	1466.952	0.042
190.538	1225.177	1435.810	1355.120	1.092	1465.117	1459.555	0.010
190.757	1230.194	1432.800	1360.097	1.093	1452.317	1469.101	-0.032
190.975	1216.883	1411.972	1351.086	1.091	1432.902	1455.067	-0.042
191.193	1223.866	1407.958	1354.137	1.086	1429.339	1459.161	-0.059
191.411	1219.606	1399.234	1346.642	1.080	1422.417	1441.030	-0.038
191.629	1234.946	1405.050	1370.767	1.072	1423.830	1450.935	-0.058
191.847	1222.760	1394.892	1360.199	1.064	1413.836	1431.292	-0.038
