wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.620	1252.333	1293.164	1289.606	1.003	1298.054	1308.900	0.243	405.620	0.243	26.753	35.000
405.817	1258.502	1294.649	1302.995	1.001	1313.849	1309.366	0.243	405.817	0.243	0.000	0.000
406.014	1266.822	1299.743	1301.791	0.999	1323.474	1325.088	0.243	406.014	0.243	0.000	0.000
406.211	1277.037	1327.084	1317.637	0.999	1328.441	1330.060	0.243	406.211	0.243	0.000	0.000
406.408	1268.537	1307.602	1313.567	0.999	1321.938	1327.626	0.243	406.408	0.243	0.000	0.000
406.605	1275.757	1312.978	1317.074	1.000	1333.074	1336.184	0.243	406.605	0.243	0.000	0.000
406.802	1257.453	1313.030	1307.218	0.999	1319.045	1318.195	0.243	406.802	0.243	0.000	0.000
406.999	1267.616	1313.593	1311.084	1.000	1323.525	1317.833	0.243	406.999	0.243	0.000	0.000
407.196	1265.824	1306.937	1303.532	1.000	1325.394	1319.527	0.243	407.196	0.243	0.000	0.000
407.393	1269.152	1322.220	1316.921	1.000	1333.509	1327.682	0.243	407.393	0.243	0.000	0.000
407.589	1261.549	1312.159	1313.311	1.001	1320.479	1322.559	0.243	407.589	0.243	0.000	0.000
407.786	1273.478	1315.231	1313.721	1.001	1333.663	1329.250	0.243	407.786	0.243	0.000	0.000
407.983	1263.827	1309.522	1311.263	1.001	1326.649	1323.674	0.243	407.983	0.243	0.000	0.000
408.180	1273.197	1317.842	1323.551	1.001	1332.613	1331.112	0.243	408.180	0.243	0.000	0.000
408.377	1266.771	1314.514	1314.182	1.001	1326.597	1327.612	0.243	408.377	0.243	0.000	0.000
408.574	1268.333	1339.397	1350.584	1.000	1360.850	1352.281	0.243	408.574	0.243	0.000	0.000
408.771	1263.238	1347.205	1367.787	0.999	1366.763	1352.937	0.243	408.771	0.243	0.000	0.000
408.968	1271.533	1351.506	1370.526	0.998	1363.358	1357.964	0.243	408.968	0.243	0.000	0.000
409.165	1254.483	1343.340	1363.154	0.996	1355.807	1342.307	0.243	409.165	0.243	0.000	0.000
409.362	1270.918	1352.939	1377.310	0.994	1380.792	1363.162	0.243	409.362	0.243	0.000	0.000
409.559	1262.010	1342.751	1365.304	0.992	1366.635	1345.572	0.243	409.559	0.243	0.000	0.000
409.756	1273.171	1347.051	1366.302	0.990	1376.926	1352.605	0.243	409.756	0.243	0.000	0.000
409.953	1273.453	1346.539	1371.729	0.988	1369.835	1348.743	0.243	409.953	0.243	0.000	0.000
410.150	1267.334	1346.514	1371.064	0.987	1371.397	1346.863	0.243	410.150	0.243	0.000	0.000
410.347	1269.510	1349.125	1373.009	0.985	1365.816	1345.501	0.244	410.347	0.244	0.000	0.000
410.544	1266.720	1354.117	1375.313	0.984	1369.733	1343.252	0.244	410.544	0.244	0.000	0.000
410.741	1269.997	1352.683	1363.870	0.983	1361.976	1344.224	0.245	410.741	0.245	0.000	0.000
410.938	1284.460	1360.235	1377.233	0.983	1374.725	1356.490	0.245	410.938	0.245	0.000	0.000
411.135	1259.245	1350.994	1365.944	0.984	1365.304	1338.258	0.246	411.135	0.246	0.000	0.000
411.332	1272.761	1362.590	1377.387	0.984	1378.181	1344.097	0.246	411.332	0.246	0.000	0.000
411.529	1265.849	1349.611	1375.646	0.985	1371.269	1344.145	0.247	411.529	0.247	0.000	0.000
411.726	1270.099	1352.402	1377.054	0.985	1381.585	1343.019	0.247	411.726	0.247	0.000	0.000
411.923	1265.158	1350.047	1360.696	0.985	1373.035	1339.766	0.248	411.923	0.248	0.000	0.000
412.120	1264.160	1349.944	1367.275	0.986	1365.202	1348.006	0.248	412.120	0.248	0.000	0.000
412.317	1265.926	1345.311	1370.552	0.986	1367.403	1340.272	0.249	412.317	0.249	0.000	0.000
412.515	1282.080	1364.843	1385.758	0.986	1380.510	1354.063	0.249	412.515	0.249	0.000	0.000
412.712	1258.016	1351.941	1374.878	0.986	1365.995	1343.092	0.250	412.712	0.250	0.000	0.000
412.909	1300.665	1382.225	1406.622	0.986	1412.151	1390.436	0.250	412.909	0.250	0.000	0.000
413.106	1267.334	1353.016	1371.909	0.985	1370.808	1342.412	0.251	413.106	0.251	0.000	0.000
413.303	1273.273	1367.480	1379.435	0.985	1372.088	1344.866	0.251	413.303	0.251	0.000	0.000
413.500	1267.641	1351.429	1378.821	0.985	1370.501	1339.737	0.252	413.500	0.252	0.000	0.000
413.697	1271.558	1353.144	1381.048	0.985	1374.469	1350.879	0.252	413.697	0.252	0.000	0.000
413.894	1258.810	1356.958	1374.059	0.985	1370.296	1337.101	0.253	413.894	0.253	0.000	0.000
414.091	1276.320	1363.051	1393.080	0.985	1371.089	1362.591	0.253	414.091	0.253	0.000	0.000
414.288	1264.544	1351.429	1385.400	0.984	1360.824	1343.457	0.254	414.288	0.254	0.000	0.000
414.485	1272.045	1358.008	1393.489	0.983	1375.032	1362.110	0.254	414.485	0.254	0.000	0.000
414.682	1273.273	1349.509	1397.559	0.982	1374.827	1356.185	0.255	414.682	0.255	0.000	0.000
414.879	1277.139	1354.322	1398.455	0.980	1381.253	1357.887	0.255	414.879	0.255	0.000	0.000
415.076	1262.778	1347.026	1395.819	0.978	1366.046	1350.344	0.256	415.076	0.256	0.000	0.000
415.274	1272.813	1358.034	1412.612	0.975	1370.833	1357.148	0.256	415.274	0.256	0.000	0.000
415.471	1266.233	1345.208	1413.303	0.973	1360.082	1355.698	0.257	415.471	0.257	0.000	0.000
415.668	1273.606	1352.427	1441.514	0.969	1377.848	1366.738	0.257	415.668	0.257	0.000	0.000
415.865	1275.065	1344.312	1439.850	0.965	1366.866	1362.202	0.257	415.865	0.257	0.000	0.000
416.062	1276.473	1364.894	1440.106	0.960	1382.993	1359.238	0.258	416.062	0.258	0.000	0.000
416.259	1265.568	1345.003	1416.222	0.956	1374.289	1340.923	0.258	416.259	0.258	0.000	0.000
416.456	1265.773	1355.730	1421.316	0.952	1377.515	1335.876	0.259	416.456	0.259	0.000	0.000
416.653	1262.854	1351.275	1409.079	0.950	1370.168	1315.661	0.259	416.653	0.259	0.000	0.000
416.850	1281.004	1361.438	1398.225	0.949	1378.974	1316.733	0.260	416.850	0.260	0.000	0.000
417.048	1272.070	1343.519	1386.859	0.950	1381.253	1308.200	0.260	417.048	0.260	0.000	0.000
417.245	1277.856	1367.070	1394.692	0.952	1386.808	1313.363	0.261	417.245	0.261	0.000	0.000
417.442	1266.592	1351.250	1383.224	0.955	1371.857	1305.069	0.261	417.442	0.261	0.000	0.000
417.639	1274.886	1362.744	1383.121	0.959	1377.541	1317.843	0.262	417.639	0.262	0.000	0.000
417.836	1264.698	1351.736	1367.506	0.963	1375.646	1312.584	0.262	417.836	0.262	0.000	0.000
418.033	1275.321	1365.022	1385.476	0.968	1389.470	1328.390	0.263	418.033	0.263	0.000	0.000
418.230	1272.915	1356.882	1384.452	0.972	1373.726	1334.021	0.263	418.230	0.263	0.000	0.000
418.428	1274.118	1357.163	1381.176	0.976	1375.493	1335.171	0.263	418.428	0.263	0.000	0.000
